,Top 25,Top 50,Top 100,Top 200
Manic Disorder,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.001 +/- 0.002
Cocaine Abuse,0.04 +/- 0.025,0.032 +/- 0.016,0.024 +/- 0.012,0.015 +/- 0.008
Acute Cerebrovascular Accidents,0.04 +/- 0.044,0.024 +/- 0.02,0.014 +/- 0.01,0.007 +/- 0.005
Brain Ischemia,0.04 +/- 0.025,0.02 +/- 0.013,0.018 +/- 0.007,0.01 +/- 0.003
"Hyperalgesia, Primary",0.032 +/- 0.03,0.02 +/- 0.018,0.014 +/- 0.008,0.009 +/- 0.006
Nonsyndromic Deafness,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
Vertiginous seizure,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004,0.001 +/- 0.002
Non-Convulsive Status Epilepticus,0.0 +/- 0.0,0.004 +/- 0.008,0.002 +/- 0.004,0.002 +/- 0.002
Amphetamine Addiction,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004,0.002 +/- 0.002
"Carcinoma, Cribriform",0.024 +/- 0.02,0.032 +/- 0.016,0.03 +/- 0.006,0.02 +/- 0.005
Mouth Neoplasms,0.024 +/- 0.02,0.02 +/- 0.022,0.01 +/- 0.011,0.007 +/- 0.007
Amyotrophic Lateral Sclerosis,0.024 +/- 0.048,0.016 +/- 0.023,0.008 +/- 0.012,0.005 +/- 0.005
Ovarian Serous Adenocarcinoma,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.003 +/- 0.002
"Condition, Preneoplastic",0.008 +/- 0.016,0.004 +/- 0.008,0.008 +/- 0.01,0.004 +/- 0.005
Mycoplasma-Induced Stevens-Johnson Syndrome,0.024 +/- 0.02,0.016 +/- 0.008,0.01 +/- 0.006,0.006 +/- 0.002
Respiratory Hypersensitivity,0.016 +/- 0.02,0.016 +/- 0.008,0.008 +/- 0.004,0.004 +/- 0.002
"Hyperglycemia, Postprandial",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Primary microcephaly,0.032 +/- 0.03,0.02 +/- 0.018,0.012 +/- 0.007,0.007 +/- 0.005
"Necrotizing encephalopathy, infantile subacute, of Leigh",0.088 +/- 0.059,0.056 +/- 0.034,0.028 +/- 0.017,0.02 +/- 0.01
Disorder of eye,0.096 +/- 0.054,0.048 +/- 0.027,0.03 +/- 0.015,0.016 +/- 0.006
Childhood Acute Lymphoblastic Leukemia,0.024 +/- 0.032,0.012 +/- 0.016,0.006 +/- 0.008,0.005 +/- 0.006
Arsenic Encephalopathy,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Paroxysmal atrial fibrillation,0.024 +/- 0.02,0.012 +/- 0.01,0.01 +/- 0.0,0.006 +/- 0.002
"Mammary Neoplasms, Human",0.168 +/- 0.078,0.092 +/- 0.035,0.056 +/- 0.031,0.034 +/- 0.015
Spinocerebellar Ataxia Type 4,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.002 +/- 0.002
Myocardial Reperfusion Injury,0.024 +/- 0.032,0.024 +/- 0.023,0.016 +/- 0.008,0.008 +/- 0.004
Left Middle Cerebral Artery Infarction,0.008 +/- 0.016,0.008 +/- 0.01,0.004 +/- 0.005,0.002 +/- 0.002
IGA Glomerulonephritis,0.0 +/- 0.0,0.004 +/- 0.008,0.002 +/- 0.004,0.002 +/- 0.002
Glioblastoma Multiforme,0.016 +/- 0.02,0.02 +/- 0.013,0.016 +/- 0.014,0.015 +/- 0.009
Schizophrenia,0.072 +/- 0.089,0.068 +/- 0.041,0.05 +/- 0.014,0.043 +/- 0.005
Involutional Depression,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Kidney Failure,0.016 +/- 0.02,0.008 +/- 0.01,0.004 +/- 0.005,0.003 +/- 0.002
Stevens-Johnson Syndrome,0.024 +/- 0.02,0.016 +/- 0.015,0.01 +/- 0.006,0.005 +/- 0.003
Fibrillary Astrocytoma,0.016 +/- 0.02,0.016 +/- 0.015,0.008 +/- 0.007,0.005 +/- 0.005
