,Top 25,Top 50,Top 100,Top 200
Psoriasis,0.018 +/- 0.036,0.035 +/- 0.043,0.035 +/- 0.043,0.072 +/- 0.036
Liver carcinoma,0.021 +/- 0.013,0.037 +/- 0.01,0.051 +/- 0.02,0.066 +/- 0.031
"Liver Cirrhosis, Experimental",0.007 +/- 0.007,0.009 +/- 0.007,0.025 +/- 0.005,0.045 +/- 0.007
"Diabetes Mellitus, Non-Insulin-Dependent",0.023 +/- 0.012,0.029 +/- 0.018,0.045 +/- 0.014,0.051 +/- 0.013
Papillary Renal Cell Carcinoma,0.024 +/- 0.032,0.024 +/- 0.032,0.055 +/- 0.047,0.088 +/- 0.051
Malignant neoplasm of ovary,0.054 +/- 0.031,0.1 +/- 0.053,0.138 +/- 0.059,0.169 +/- 0.082
Steatohepatitis,0.059 +/- 0.075,0.07 +/- 0.07,0.07 +/- 0.07,0.112 +/- 0.047
Disproportionate short stature,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.025 +/- 0.05
Stomach Neoplasms,0.014 +/- 0.02,0.031 +/- 0.03,0.058 +/- 0.035,0.079 +/- 0.05
Pneumonitis,0.202 +/- 0.065,0.242 +/- 0.05,0.316 +/- 0.098,0.353 +/- 0.071
"Heart Failure, Right-Sided",0.039 +/- 0.037,0.039 +/- 0.037,0.039 +/- 0.037,0.049 +/- 0.055
"Alcoholic Intoxication, Chronic",0.019 +/- 0.021,0.019 +/- 0.021,0.027 +/- 0.02,0.039 +/- 0.021
"Osteoporosis, Senile",0.05 +/- 0.041,0.05 +/- 0.041,0.1 +/- 0.082,0.133 +/- 0.145
Parkinson Disease,0.012 +/- 0.024,0.012 +/- 0.024,0.026 +/- 0.032,0.114 +/- 0.099
"Hepatoma, Novikoff",0.0 +/- 0.0,0.0 +/- 0.0,0.097 +/- 0.053,0.145 +/- 0.068
Malignant neoplasm of prostate,0.03 +/- 0.009,0.05 +/- 0.012,0.063 +/- 0.008,0.083 +/- 0.01
Pneumonia,0.202 +/- 0.065,0.242 +/- 0.05,0.316 +/- 0.098,0.353 +/- 0.071
Carcinomatosis,0.025 +/- 0.013,0.031 +/- 0.001,0.057 +/- 0.038,0.107 +/- 0.057
"Dermatitis, Allergic Contact",0.017 +/- 0.033,0.017 +/- 0.033,0.031 +/- 0.038,0.031 +/- 0.038
Atrial Fibrillation,0.007 +/- 0.014,0.007 +/- 0.014,0.007 +/- 0.014,0.021 +/- 0.028
Craniofacial Abnormalities,0.026 +/- 0.032,0.04 +/- 0.039,0.04 +/- 0.039,0.079 +/- 0.034
Skin Neoplasms,0.035 +/- 0.043,0.053 +/- 0.043,0.071 +/- 0.036,0.162 +/- 0.07
Malignant mesothelioma,0.048 +/- 0.03,0.077 +/- 0.066,0.086 +/- 0.064,0.124 +/- 0.115
Tonic - clonic seizures,0.0 +/- 0.0,0.0 +/- 0.0,0.01 +/- 0.02,0.02 +/- 0.024
"Adenocarcinoma, Basal Cell",0.035 +/- 0.018,0.07 +/- 0.036,0.141 +/- 0.046,0.211 +/- 0.046
"Seizures, Auditory",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.01 +/- 0.02
Alzheimer's Disease,0.089 +/- 0.055,0.099 +/- 0.068,0.099 +/- 0.068,0.11 +/- 0.064
"Epilepsy, Cryptogenic",0.051 +/- 0.047,0.063 +/- 0.056,0.063 +/- 0.056,0.101 +/- 0.049
Peripheral Nervous System Diseases,0.0 +/- 0.0,0.018 +/- 0.036,0.056 +/- 0.046,0.056 +/- 0.046
Allodynia,0.049 +/- 0.047,0.062 +/- 0.056,0.085 +/- 0.049,0.11 +/- 0.073
Insulin Sensitivity,0.071 +/- 0.068,0.071 +/- 0.068,0.108 +/- 0.134,0.142 +/- 0.125
Chromophobe Renal Cell Carcinoma,0.024 +/- 0.032,0.024 +/- 0.032,0.047 +/- 0.046,0.08 +/- 0.043
Anaplastic carcinoma,0.025 +/- 0.013,0.031 +/- 0.001,0.057 +/- 0.038,0.101 +/- 0.063
Spontaneous abortion,0.03 +/- 0.04,0.058 +/- 0.049,0.067 +/- 0.05,0.067 +/- 0.05
Manic Disorder,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.015 +/- 0.031
Cocaine Abuse,0.048 +/- 0.034,0.074 +/- 0.037,0.11 +/- 0.055,0.137 +/- 0.077
Acute Cerebrovascular Accidents,0.093 +/- 0.1,0.111 +/- 0.089,0.129 +/- 0.092,0.129 +/- 0.092
Brain Ischemia,0.083 +/- 0.053,0.083 +/- 0.053,0.15 +/- 0.062,0.167 +/- 0.053
"Hyperalgesia, Primary",0.049 +/- 0.047,0.062 +/- 0.056,0.085 +/- 0.049,0.11 +/- 0.073
Nonsyndromic Deafness,0.015 +/- 0.031,0.015 +/- 0.031,0.015 +/- 0.031,0.015 +/- 0.031
Vertiginous seizure,0.0 +/- 0.0,0.0 +/- 0.0,0.01 +/- 0.02,0.01 +/- 0.02
Non-Convulsive Status Epilepticus,0.0 +/- 0.0,0.014 +/- 0.029,0.014 +/- 0.029,0.03 +/- 0.036
Amphetamine Addiction,0.0 +/- 0.0,0.0 +/- 0.0,0.013 +/- 0.027,0.027 +/- 0.033
"Carcinoma, Cribriform",0.026 +/- 0.021,0.07 +/- 0.036,0.132 +/- 0.03,0.176 +/- 0.051
Mouth Neoplasms,0.055 +/- 0.045,0.091 +/- 0.1,0.091 +/- 0.1,0.127 +/- 0.136
Amyotrophic Lateral Sclerosis,0.05 +/- 0.1,0.068 +/- 0.097,0.068 +/- 0.097,0.085 +/- 0.091
Ovarian Serous Adenocarcinoma,0.04 +/- 0.08,0.04 +/- 0.08,0.04 +/- 0.08,0.13 +/- 0.108
"Condition, Preneoplastic",0.011 +/- 0.022,0.011 +/- 0.022,0.042 +/- 0.052,0.042 +/- 0.052
Mycoplasma-Induced Stevens-Johnson Syndrome,0.107 +/- 0.088,0.14 +/- 0.071,0.173 +/- 0.106,0.207 +/- 0.065
Respiratory Hypersensitivity,0.1 +/- 0.122,0.19 +/- 0.097,0.19 +/- 0.097,0.19 +/- 0.097
"Hyperglycemia, Postprandial",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Primary microcephaly,0.2 +/- 0.187,0.25 +/- 0.224,0.29 +/- 0.191,0.34 +/- 0.26
"Necrotizing encephalopathy, infantile subacute, of Leigh",0.304 +/- 0.205,0.382 +/- 0.225,0.382 +/- 0.225,0.558 +/- 0.232
Disorder of eye,0.059 +/- 0.034,0.059 +/- 0.034,0.074 +/- 0.039,0.08 +/- 0.029
Childhood Acute Lymphoblastic Leukemia,0.056 +/- 0.074,0.056 +/- 0.074,0.056 +/- 0.074,0.095 +/- 0.118
Arsenic Encephalopathy,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Paroxysmal atrial fibrillation,0.021 +/- 0.017,0.021 +/- 0.017,0.035 +/- 0.002,0.041 +/- 0.013
"Mammary Neoplasms, Human",0.042 +/- 0.019,0.046 +/- 0.017,0.056 +/- 0.031,0.068 +/- 0.029
Spinocerebellar Ataxia Type 4,0.029 +/- 0.057,0.029 +/- 0.057,0.029 +/- 0.057,0.057 +/- 0.07
Myocardial Reperfusion Injury,0.059 +/- 0.073,0.139 +/- 0.157,0.171 +/- 0.132,0.171 +/- 0.132
Left Middle Cerebral Artery Infarction,0.029 +/- 0.057,0.062 +/- 0.076,0.062 +/- 0.076,0.062 +/- 0.076
IGA Glomerulonephritis,0.0 +/- 0.0,0.029 +/- 0.057,0.029 +/- 0.057,0.057 +/- 0.07
Glioblastoma Multiforme,0.018 +/- 0.022,0.048 +/- 0.029,0.076 +/- 0.06,0.141 +/- 0.078
