,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.05498713222348524 +/- 0.04422292021278635,0.07602227723330005 +/- 0.03412130858729851,0.06061725897326535 +/- 0.023240700101783446,0.05970272047859343 +/- 0.020273720018767986
Lymphatic Metastasis,0.0 +/- 0.0,0.027786844791433396 +/- 0.0555736895828668,0.027786844791433396 +/- 0.0555736895828668,0.04673443717471088 +/- 0.050739563854233366
"Condition, Preneoplastic",0.01685721111410913 +/- 0.03371442222821826,0.01685721111410913 +/- 0.03371442222821826,0.03018846622453955 +/- 0.042064511560441754,0.03018846622453955 +/- 0.042064511560441754
Alzheimer's Disease,0.1252942010777403 +/- 0.1004033704443953,0.1252942010777403 +/- 0.1004033704443953,0.1252942010777403 +/- 0.1004033704443953,0.1252942010777403 +/- 0.1004033704443953
Ovarian Mucinous Adenocarcinoma,0.014439228206533466 +/- 0.02887845641306693,0.014439228206533466 +/- 0.02887845641306693,0.033466480352027185 +/- 0.04571496483440274,0.04188399905559763 +/- 0.042542532196600494
Female infertility,0.04163389721535364 +/- 0.03405135601390792,0.05475440496658782 +/- 0.05146834314610146,0.08767122399398879 +/- 0.08470434598046353,0.08767122399398879 +/- 0.08470434598046353
Single Seizure,0.0 +/- 0.0,0.0 +/- 0.0,0.004314072847585745 +/- 0.00862814569517149,0.004314072847585745 +/- 0.00862814569517149
"Hearing Loss, Extreme",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Stomach Neoplasms,0.013863644408585257 +/- 0.0170449002184962,0.026871644074476266 +/- 0.021103570847988296,0.043841788593111226 +/- 0.02836749633134974,0.05518650464599899 +/- 0.03677914002377693
Pneumonitis,0.11704843324711307 +/- 0.04099483273254424,0.1340468241802286 +/- 0.03030157582107031,0.1753186190938169 +/- 0.034704699081416227,0.18075449630445656 +/- 0.044255675023500154
Malignant neoplasm of prostate,0.20585861860815075 +/- 0.05410677046408535,0.16552868449959818 +/- 0.035149979387992164,0.11435978717066657 +/- 0.016413417056868954,0.10979814125350948 +/- 0.015103432857264495
Neuroblastoma,0.02528320360457172 +/- 0.03102535005021444,0.05207588844522597 +/- 0.044374353312871956,0.06674669948194681 +/- 0.045770901348417554,0.07261593385320605 +/- 0.0471909540506412
