,Top 25,Top 50,Top 100,Top 200
Psoriasis,0.008 +/- 0.016,0.02 +/- 0.0,0.01 +/- 0.0,0.007 +/- 0.002
Liver carcinoma,0.064 +/- 0.048,0.06 +/- 0.013,0.058 +/- 0.017,0.042 +/- 0.012
"Liver Cirrhosis, Experimental",0.072 +/- 0.03,0.048 +/- 0.02,0.04 +/- 0.011,0.027 +/- 0.009
"Diabetes Mellitus, Non-Insulin-Dependent",0.024 +/- 0.032,0.02 +/- 0.022,0.022 +/- 0.015,0.015 +/- 0.008
Papillary Renal Cell Carcinoma,0.016 +/- 0.02,0.012 +/- 0.016,0.012 +/- 0.012,0.01 +/- 0.003
Malignant neoplasm of ovary,0.08 +/- 0.025,0.052 +/- 0.016,0.042 +/- 0.013,0.029 +/- 0.009
Steatohepatitis,0.04 +/- 0.036,0.024 +/- 0.015,0.018 +/- 0.007,0.009 +/- 0.004
Disproportionate short stature,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.003 +/- 0.002
Stomach Neoplasms,0.024 +/- 0.02,0.024 +/- 0.015,0.026 +/- 0.016,0.021 +/- 0.012
Pneumonitis,0.088 +/- 0.03,0.048 +/- 0.01,0.036 +/- 0.008,0.02 +/- 0.003
"Heart Failure, Right-Sided",0.032 +/- 0.047,0.024 +/- 0.029,0.014 +/- 0.014,0.009 +/- 0.008
"Alcoholic Intoxication, Chronic",0.032 +/- 0.03,0.024 +/- 0.015,0.018 +/- 0.01,0.012 +/- 0.006
"Osteoporosis, Senile",0.024 +/- 0.02,0.016 +/- 0.015,0.014 +/- 0.01,0.009 +/- 0.005
Parkinson Disease,0.008 +/- 0.016,0.004 +/- 0.008,0.004 +/- 0.005,0.008 +/- 0.007
"Hepatoma, Novikoff",0.0 +/- 0.0,0.012 +/- 0.024,0.018 +/- 0.012,0.013 +/- 0.005
Malignant neoplasm of prostate,0.144 +/- 0.041,0.092 +/- 0.027,0.086 +/- 0.01,0.055 +/- 0.003
Pneumonia,0.08 +/- 0.025,0.052 +/- 0.01,0.038 +/- 0.007,0.02 +/- 0.003
Carcinomatosis,0.056 +/- 0.02,0.032 +/- 0.01,0.026 +/- 0.014,0.021 +/- 0.011
"Dermatitis, Allergic Contact",0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004,0.002 +/- 0.002
Atrial Fibrillation,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.003 +/- 0.004
Craniofacial Abnormalities,0.024 +/- 0.048,0.016 +/- 0.023,0.016 +/- 0.014,0.009 +/- 0.009
Skin Neoplasms,0.008 +/- 0.016,0.012 +/- 0.016,0.01 +/- 0.006,0.007 +/- 0.002
Malignant mesothelioma,0.048 +/- 0.064,0.036 +/- 0.034,0.022 +/- 0.017,0.011 +/- 0.009
Tonic - clonic seizures,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
"Adenocarcinoma, Basal Cell",0.04 +/- 0.025,0.032 +/- 0.016,0.024 +/- 0.008,0.022 +/- 0.005
"Seizures, Auditory",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.001 +/- 0.002
Alzheimer's Disease,0.04 +/- 0.036,0.024 +/- 0.023,0.016 +/- 0.014,0.009 +/- 0.007
"Epilepsy, Cryptogenic",0.008 +/- 0.016,0.008 +/- 0.01,0.004 +/- 0.005,0.005 +/- 0.004
Peripheral Nervous System Diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.006 +/- 0.008,0.005 +/- 0.004
Allodynia,0.04 +/- 0.036,0.024 +/- 0.015,0.014 +/- 0.008,0.008 +/- 0.005
Insulin Sensitivity,0.032 +/- 0.03,0.016 +/- 0.015,0.012 +/- 0.01,0.009 +/- 0.007
Chromophobe Renal Cell Carcinoma,0.016 +/- 0.02,0.016 +/- 0.015,0.014 +/- 0.012,0.011 +/- 0.006
Anaplastic carcinoma,0.048 +/- 0.016,0.032 +/- 0.01,0.024 +/- 0.014,0.019 +/- 0.011
Spontaneous abortion,0.016 +/- 0.02,0.02 +/- 0.031,0.014 +/- 0.014,0.009 +/- 0.007
Manic Disorder,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004,0.002 +/- 0.002
Cocaine Abuse,0.056 +/- 0.02,0.036 +/- 0.023,0.02 +/- 0.011,0.015 +/- 0.007
Acute Cerebrovascular Accidents,0.04 +/- 0.025,0.02 +/- 0.013,0.01 +/- 0.006,0.006 +/- 0.005
Brain Ischemia,0.056 +/- 0.032,0.032 +/- 0.01,0.02 +/- 0.006,0.012 +/- 0.007
"Hyperalgesia, Primary",0.032 +/- 0.03,0.024 +/- 0.015,0.014 +/- 0.008,0.009 +/- 0.005
Nonsyndromic Deafness,0.008 +/- 0.016,0.004 +/- 0.008,0.004 +/- 0.008,0.002 +/- 0.004
Vertiginous seizure,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004,0.001 +/- 0.002
Non-Convulsive Status Epilepticus,0.0 +/- 0.0,0.004 +/- 0.008,0.004 +/- 0.005,0.006 +/- 0.005
Amphetamine Addiction,0.008 +/- 0.016,0.004 +/- 0.008,0.006 +/- 0.008,0.004 +/- 0.005
"Carcinoma, Cribriform",0.032 +/- 0.03,0.028 +/- 0.027,0.028 +/- 0.007,0.019 +/- 0.006
