,Top 25,Top 50,Top 100,Top 200
Psoriasis,0.009 +/- 0.018,0.038 +/- 0.003,0.038 +/- 0.003,0.05 +/- 0.016
Liver carcinoma,0.09 +/- 0.088,0.077 +/- 0.046,0.069 +/- 0.027,0.085 +/- 0.023
"Liver Cirrhosis, Experimental",0.062 +/- 0.026,0.048 +/- 0.021,0.042 +/- 0.01,0.037 +/- 0.008
"Diabetes Mellitus, Non-Insulin-Dependent",0.024 +/- 0.034,0.023 +/- 0.028,0.039 +/- 0.034,0.049 +/- 0.034
Papillary Renal Cell Carcinoma,0.015 +/- 0.018,0.019 +/- 0.024,0.032 +/- 0.029,0.045 +/- 0.021
Malignant neoplasm of ovary,0.095 +/- 0.044,0.103 +/- 0.042,0.134 +/- 0.056,0.16 +/- 0.057
Steatohepatitis,0.041 +/- 0.038,0.047 +/- 0.033,0.062 +/- 0.03,0.062 +/- 0.03
Disproportionate short stature,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.014 +/- 0.012
Stomach Neoplasms,0.021 +/- 0.019,0.022 +/- 0.015,0.035 +/- 0.023,0.05 +/- 0.031
Pneumonitis,0.114 +/- 0.042,0.123 +/- 0.03,0.164 +/- 0.038,0.176 +/- 0.034
"Heart Failure, Right-Sided",0.036 +/- 0.052,0.046 +/- 0.06,0.051 +/- 0.057,0.058 +/- 0.062
"Alcoholic Intoxication, Chronic",0.047 +/- 0.047,0.035 +/- 0.027,0.041 +/- 0.025,0.047 +/- 0.022
"Osteoporosis, Senile",0.052 +/- 0.048,0.059 +/- 0.05,0.078 +/- 0.057,0.089 +/- 0.054
Parkinson Disease,0.009 +/- 0.019,0.009 +/- 0.019,0.015 +/- 0.019,0.041 +/- 0.035
"Hepatoma, Novikoff",0.0 +/- 0.0,0.015 +/- 0.029,0.04 +/- 0.028,0.055 +/- 0.024
Malignant neoplasm of prostate,0.199 +/- 0.061,0.14 +/- 0.041,0.118 +/- 0.019,0.115 +/- 0.015
Pneumonia,0.104 +/- 0.031,0.13 +/- 0.024,0.17 +/- 0.037,0.176 +/- 0.033
Carcinomatosis,0.082 +/- 0.048,0.073 +/- 0.037,0.09 +/- 0.05,0.113 +/- 0.061
"Dermatitis, Allergic Contact",0.0 +/- 0.0,0.0 +/- 0.0,0.006 +/- 0.012,0.011 +/- 0.014
Atrial Fibrillation,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.008 +/- 0.011
Craniofacial Abnormalities,0.043 +/- 0.085,0.041 +/- 0.072,0.056 +/- 0.075,0.059 +/- 0.081
Skin Neoplasms,0.01 +/- 0.021,0.025 +/- 0.034,0.039 +/- 0.028,0.05 +/- 0.021
Malignant mesothelioma,0.079 +/- 0.099,0.096 +/- 0.099,0.105 +/- 0.095,0.105 +/- 0.095
Tonic - clonic seizures,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
"Adenocarcinoma, Basal Cell",0.034 +/- 0.023,0.049 +/- 0.025,0.065 +/- 0.021,0.101 +/- 0.026
"Seizures, Auditory",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.007
Alzheimer's Disease,0.071 +/- 0.077,0.077 +/- 0.086,0.086 +/- 0.09,0.09 +/- 0.088
"Epilepsy, Cryptogenic",0.009 +/- 0.017,0.014 +/- 0.018,0.014 +/- 0.018,0.028 +/- 0.026
Peripheral Nervous System Diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.02 +/- 0.026,0.031 +/- 0.028
Allodynia,0.042 +/- 0.035,0.048 +/- 0.03,0.053 +/- 0.032,0.058 +/- 0.037
Insulin Sensitivity,0.074 +/- 0.076,0.074 +/- 0.076,0.086 +/- 0.076,0.102 +/- 0.076
Chromophobe Renal Cell Carcinoma,0.014 +/- 0.017,0.023 +/- 0.022,0.035 +/- 0.031,0.049 +/- 0.029
Anaplastic carcinoma,0.055 +/- 0.017,0.055 +/- 0.018,0.069 +/- 0.036,0.089 +/- 0.048
Spontaneous abortion,0.014 +/- 0.017,0.031 +/- 0.045,0.039 +/- 0.04,0.046 +/- 0.039
Manic Disorder,0.0 +/- 0.0,0.0 +/- 0.0,0.006 +/- 0.011,0.011 +/- 0.013
Cocaine Abuse,0.063 +/- 0.033,0.072 +/- 0.036,0.076 +/- 0.033,0.093 +/- 0.038
