,Top 25,Top 50,Top 100,Top 200
Psoriasis,0.011 +/- 0.022,0.033 +/- 0.0,0.018 +/- 0.0,0.013 +/- 0.005
Liver carcinoma,0.026 +/- 0.019,0.041 +/- 0.008,0.059 +/- 0.017,0.056 +/- 0.017
"Liver Cirrhosis, Experimental",0.021 +/- 0.008,0.024 +/- 0.01,0.032 +/- 0.009,0.031 +/- 0.01
"Diabetes Mellitus, Non-Insulin-Dependent",0.02 +/- 0.027,0.024 +/- 0.026,0.033 +/- 0.022,0.026 +/- 0.014
Papillary Renal Cell Carcinoma,0.016 +/- 0.019,0.016 +/- 0.021,0.019 +/- 0.019,0.018 +/- 0.006
Malignant neoplasm of ovary,0.078 +/- 0.026,0.068 +/- 0.022,0.067 +/- 0.021,0.051 +/- 0.015
Steatohepatitis,0.052 +/- 0.047,0.037 +/- 0.024,0.031 +/- 0.013,0.017 +/- 0.007
Disproportionate short stature,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.006 +/- 0.005
Stomach Neoplasms,0.014 +/- 0.012,0.022 +/- 0.014,0.033 +/- 0.021,0.033 +/- 0.019
Pneumonitis,0.123 +/- 0.041,0.079 +/- 0.016,0.065 +/- 0.014,0.038 +/- 0.006
"Heart Failure, Right-Sided",0.035 +/- 0.052,0.034 +/- 0.042,0.023 +/- 0.023,0.016 +/- 0.015
"Alcoholic Intoxication, Chronic",0.021 +/- 0.019,0.024 +/- 0.015,0.024 +/- 0.013,0.019 +/- 0.01
"Osteoporosis, Senile",0.032 +/- 0.026,0.026 +/- 0.024,0.025 +/- 0.018,0.017 +/- 0.009
Parkinson Disease,0.01 +/- 0.019,0.006 +/- 0.012,0.007 +/- 0.008,0.015 +/- 0.014
"Hepatoma, Novikoff",0.0 +/- 0.0,0.018 +/- 0.036,0.031 +/- 0.02,0.024 +/- 0.01
Malignant neoplasm of prostate,0.049 +/- 0.014,0.054 +/- 0.016,0.078 +/- 0.009,0.069 +/- 0.004
Pneumonia,0.111 +/- 0.035,0.086 +/- 0.016,0.069 +/- 0.014,0.038 +/- 0.006
Carcinomatosis,0.049 +/- 0.018,0.039 +/- 0.012,0.039 +/- 0.021,0.036 +/- 0.019
"Dermatitis, Allergic Contact",0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.007,0.004 +/- 0.005
Atrial Fibrillation,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.005 +/- 0.007
Craniofacial Abnormalities,0.022 +/- 0.044,0.02 +/- 0.029,0.025 +/- 0.021,0.016 +/- 0.015
Skin Neoplasms,0.011 +/- 0.022,0.02 +/- 0.026,0.018 +/- 0.011,0.013 +/- 0.005
Malignant mesothelioma,0.053 +/- 0.07,0.051 +/- 0.049,0.036 +/- 0.028,0.02 +/- 0.016
Tonic - clonic seizures,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
"Adenocarcinoma, Basal Cell",0.042 +/- 0.027,0.044 +/- 0.022,0.039 +/- 0.013,0.04 +/- 0.009
"Seizures, Auditory",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004
Alzheimer's Disease,0.047 +/- 0.042,0.035 +/- 0.034,0.027 +/- 0.023,0.016 +/- 0.012
"Epilepsy, Cryptogenic",0.01 +/- 0.02,0.012 +/- 0.015,0.007 +/- 0.008,0.009 +/- 0.008
Peripheral Nervous System Diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.011 +/- 0.014,0.009 +/- 0.008
Allodynia,0.049 +/- 0.044,0.036 +/- 0.023,0.024 +/- 0.014,0.015 +/- 0.009
Insulin Sensitivity,0.044 +/- 0.041,0.026 +/- 0.025,0.022 +/- 0.018,0.017 +/- 0.014
