,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.013 +/- 0.011,0.034 +/- 0.017,0.048 +/- 0.019,0.066 +/- 0.023
Lymphatic Metastasis,0.0 +/- 0.0,0.08 +/- 0.16,0.08 +/- 0.16,0.17 +/- 0.154
"Condition, Preneoplastic",0.011 +/- 0.022,0.011 +/- 0.022,0.042 +/- 0.052,0.042 +/- 0.052
Alzheimer's Disease,0.099 +/- 0.068,0.099 +/- 0.068,0.099 +/- 0.068,0.099 +/- 0.068
Ovarian Mucinous Adenocarcinoma,0.029 +/- 0.057,0.029 +/- 0.057,0.09 +/- 0.117,0.124 +/- 0.11
Female infertility,0.107 +/- 0.088,0.147 +/- 0.147,0.26 +/- 0.278,0.26 +/- 0.278
Single Seizure,0.0 +/- 0.0,0.0 +/- 0.0,0.01 +/- 0.02,0.01 +/- 0.02
Stomach Neoplasms,0.007 +/- 0.008,0.028 +/- 0.02,0.058 +/- 0.035,0.079 +/- 0.05
Pneumonitis,0.202 +/- 0.065,0.24 +/- 0.04,0.353 +/- 0.071,0.371 +/- 0.101
Malignant neoplasm of prostate,0.03 +/- 0.007,0.05 +/- 0.01,0.063 +/- 0.006,0.079 +/- 0.009
Neuroblastoma,0.042 +/- 0.052,0.104 +/- 0.095,0.147 +/- 0.104,0.167 +/- 0.103
