,Top 25,Top 50,Top 100,Top 200
Manic Disorder,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004
Cocaine Abuse,0.043 +/- 0.029,0.045 +/- 0.022,0.039 +/- 0.02,0.027 +/- 0.015
Acute Cerebrovascular Accidents,0.056 +/- 0.061,0.039 +/- 0.032,0.025 +/- 0.018,0.013 +/- 0.01
Brain Ischemia,0.054 +/- 0.034,0.032 +/- 0.02,0.032 +/- 0.013,0.019 +/- 0.006
"Hyperalgesia, Primary",0.039 +/- 0.036,0.03 +/- 0.027,0.024 +/- 0.014,0.017 +/- 0.011
Nonsyndromic Deafness,0.011 +/- 0.021,0.006 +/- 0.013,0.004 +/- 0.007,0.002 +/- 0.004
Vertiginous seizure,0.0 +/- 0.0,0.0 +/- 0.0,0.003 +/- 0.007,0.002 +/- 0.004
Non-Convulsive Status Epilepticus,0.0 +/- 0.0,0.006 +/- 0.013,0.004 +/- 0.007,0.004 +/- 0.005
Amphetamine Addiction,0.0 +/- 0.0,0.0 +/- 0.0,0.003 +/- 0.007,0.004 +/- 0.005
"Carcinoma, Cribriform",0.025 +/- 0.02,0.044 +/- 0.022,0.049 +/- 0.01,0.036 +/- 0.01
Mouth Neoplasms,0.033 +/- 0.027,0.033 +/- 0.036,0.018 +/- 0.02,0.013 +/- 0.014
Amyotrophic Lateral Sclerosis,0.032 +/- 0.065,0.026 +/- 0.038,0.014 +/- 0.021,0.009 +/- 0.01
Ovarian Serous Adenocarcinoma,0.013 +/- 0.027,0.007 +/- 0.015,0.004 +/- 0.008,0.006 +/- 0.005
"Condition, Preneoplastic",0.009 +/- 0.019,0.006 +/- 0.012,0.013 +/- 0.016,0.007 +/- 0.009
Mycoplasma-Induced Stevens-Johnson Syndrome,0.039 +/- 0.032,0.029 +/- 0.014,0.019 +/- 0.012,0.012 +/- 0.004
Respiratory Hypersensitivity,0.028 +/- 0.034,0.029 +/- 0.015,0.015 +/- 0.008,0.008 +/- 0.004
"Hyperglycemia, Postprandial",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Primary microcephaly,0.055 +/- 0.052,0.037 +/- 0.033,0.023 +/- 0.014,0.014 +/- 0.01
"Necrotizing encephalopathy, infantile subacute, of Leigh",0.136 +/- 0.091,0.098 +/- 0.06,0.052 +/- 0.032,0.039 +/- 0.019
Disorder of eye,0.073 +/- 0.042,0.053 +/- 0.03,0.043 +/- 0.022,0.027 +/- 0.01
Childhood Acute Lymphoblastic Leukemia,0.034 +/- 0.045,0.02 +/- 0.026,0.011 +/- 0.014,0.009 +/- 0.012
Arsenic Encephalopathy,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Paroxysmal atrial fibrillation,0.023 +/- 0.018,0.015 +/- 0.013,0.016 +/- 0.0,0.01 +/- 0.003
"Mammary Neoplasms, Human",0.067 +/- 0.03,0.062 +/- 0.023,0.056 +/- 0.031,0.045 +/- 0.019
Spinocerebellar Ataxia Type 4,0.012 +/- 0.025,0.007 +/- 0.014,0.004 +/- 0.007,0.004 +/- 0.005
Myocardial Reperfusion Injury,0.034 +/- 0.043,0.041 +/- 0.04,0.029 +/- 0.015,0.015 +/- 0.008
Left Middle Cerebral Artery Infarction,0.012 +/- 0.025,0.014 +/- 0.017,0.008 +/- 0.009,0.004 +/- 0.005
IGA Glomerulonephritis,0.0 +/- 0.0,0.007 +/- 0.014,0.004 +/- 0.007,0.004 +/- 0.005
Glioblastoma Multiforme,0.017 +/- 0.021,0.028 +/- 0.018,0.026 +/- 0.022,0.027 +/- 0.016
Schizophrenia,0.019 +/- 0.024,0.032 +/- 0.02,0.038 +/- 0.011,0.047 +/- 0.006
Involutional Depression,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Kidney Failure,0.027 +/- 0.033,0.015 +/- 0.018,0.008 +/- 0.009,0.006 +/- 0.005
Stevens-Johnson Syndrome,0.039 +/- 0.032,0.029 +/- 0.027,0.019 +/- 0.012,0.01 +/- 0.006
Fibrillary Astrocytoma,0.026 +/- 0.032,0.029 +/- 0.027,0.015 +/- 0.014,0.01 +/- 0.011
