,Top 25,Top 50,Top 100,Top 200
Psoriasis,0.0 +/- 0.0,0.013 +/- 0.016,0.014 +/- 0.007,0.011 +/- 0.004
Liver carcinoma,0.039 +/- 0.017,0.049 +/- 0.014,0.051 +/- 0.02,0.046 +/- 0.02
"Liver Cirrhosis, Experimental",0.011 +/- 0.012,0.018 +/- 0.015,0.035 +/- 0.008,0.039 +/- 0.004
"Diabetes Mellitus, Non-Insulin-Dependent",0.02 +/- 0.017,0.024 +/- 0.015,0.024 +/- 0.007,0.014 +/- 0.004
Papillary Renal Cell Carcinoma,0.016 +/- 0.032,0.011 +/- 0.021,0.029 +/- 0.025,0.018 +/- 0.013
Malignant neoplasm of ovary,0.047 +/- 0.03,0.063 +/- 0.035,0.051 +/- 0.025,0.035 +/- 0.015
Steatohepatitis,0.061 +/- 0.05,0.049 +/- 0.032,0.028 +/- 0.018,0.019 +/- 0.006
Disproportionate short stature,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Stomach Neoplasms,0.01 +/- 0.012,0.03 +/- 0.022,0.043 +/- 0.026,0.034 +/- 0.021
Pneumonitis,0.123 +/- 0.041,0.092 +/- 0.013,0.065 +/- 0.014,0.036 +/- 0.007
"Heart Failure, Right-Sided",0.035 +/- 0.033,0.023 +/- 0.021,0.017 +/- 0.018,0.011 +/- 0.013
"Alcoholic Intoxication, Chronic",0.026 +/- 0.029,0.024 +/- 0.019,0.018 +/- 0.013,0.022 +/- 0.013
"Osteoporosis, Senile",0.032 +/- 0.026,0.019 +/- 0.016,0.018 +/- 0.011,0.015 +/- 0.013
Parkinson Disease,0.01 +/- 0.019,0.006 +/- 0.012,0.014 +/- 0.013,0.017 +/- 0.015
"Hepatoma, Novikoff",0.0 +/- 0.0,0.0 +/- 0.0,0.027 +/- 0.014,0.022 +/- 0.009
Malignant neoplasm of prostate,0.047 +/- 0.019,0.073 +/- 0.014,0.071 +/- 0.009,0.061 +/- 0.008
Pneumonia,0.123 +/- 0.041,0.079 +/- 0.016,0.069 +/- 0.014,0.036 +/- 0.007
Carcinomatosis,0.035 +/- 0.0,0.029 +/- 0.01,0.027 +/- 0.018,0.028 +/- 0.017
"Dermatitis, Allergic Contact",0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.007,0.002 +/- 0.004
Atrial Fibrillation,0.008 +/- 0.015,0.005 +/- 0.01,0.003 +/- 0.006,0.007 +/- 0.007
Craniofacial Abnormalities,0.029 +/- 0.035,0.03 +/- 0.029,0.018 +/- 0.018,0.021 +/- 0.009
Skin Neoplasms,0.022 +/- 0.027,0.02 +/- 0.016,0.014 +/- 0.007,0.017 +/- 0.007
Malignant mesothelioma,0.044 +/- 0.028,0.045 +/- 0.038,0.03 +/- 0.022,0.024 +/- 0.022
Tonic - clonic seizures,0.0 +/- 0.0,0.0 +/- 0.0,0.003 +/- 0.007,0.007 +/- 0.007
"Adenocarcinoma, Basal Cell",0.025 +/- 0.02,0.038 +/- 0.013,0.049 +/- 0.01,0.038 +/- 0.009
"Seizures, Auditory",0.0 +/- 0.0,0.0 +/- 0.0,0.003 +/- 0.007,0.002 +/- 0.004
Alzheimer's Disease,0.074 +/- 0.047,0.053 +/- 0.038,0.03 +/- 0.022,0.016 +/- 0.012
"Epilepsy, Cryptogenic",0.039 +/- 0.037,0.03 +/- 0.027,0.021 +/- 0.013,0.015 +/- 0.009
Peripheral Nervous System Diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.011 +/- 0.014,0.008 +/- 0.007
Allodynia,0.039 +/- 0.036,0.03 +/- 0.027,0.021 +/- 0.013,0.017 +/- 0.011
Insulin Sensitivity,0.055 +/- 0.061,0.033 +/- 0.036,0.018 +/- 0.02,0.017 +/- 0.011
Chromophobe Renal Cell Carcinoma,0.024 +/- 0.032,0.016 +/- 0.021,0.019 +/- 0.019,0.016 +/- 0.01
Anaplastic carcinoma,0.035 +/- 0.0,0.024 +/- 0.0,0.027 +/- 0.018,0.028 +/- 0.017
Spontaneous abortion,0.035 +/- 0.052,0.034 +/- 0.028,0.023 +/- 0.017,0.013 +/- 0.009
Manic Disorder,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Cocaine Abuse,0.043 +/- 0.029,0.045 +/- 0.022,0.039 +/- 0.02,0.027 +/- 0.015
Acute Cerebrovascular Accidents,0.067 +/- 0.054,0.039 +/- 0.032,0.025 +/- 0.018,0.013 +/- 0.01
Brain Ischemia,0.065 +/- 0.04,0.039 +/- 0.024,0.032 +/- 0.013,0.023 +/- 0.008
"Hyperalgesia, Primary",0.039 +/- 0.036,0.03 +/- 0.027,0.024 +/- 0.014,0.017 +/- 0.011
Nonsyndromic Deafness,0.011 +/- 0.021,0.006 +/- 0.013,0.004 +/- 0.007,0.002 +/- 0.004
Vertiginous seizure,0.0 +/- 0.0,0.0 +/- 0.0,0.003 +/- 0.007,0.004 +/- 0.004
