,Top 25,Top 50,Top 100,Top 200
Psoriasis,0.0 +/- 0.0,0.016 +/- 0.019,0.029 +/- 0.015,0.04 +/- 0.011
Liver carcinoma,0.113 +/- 0.063,0.089 +/- 0.042,0.065 +/- 0.024,0.077 +/- 0.029
"Liver Cirrhosis, Experimental",0.049 +/- 0.056,0.042 +/- 0.034,0.046 +/- 0.013,0.045 +/- 0.007
"Diabetes Mellitus, Non-Insulin-Dependent",0.056 +/- 0.056,0.045 +/- 0.04,0.053 +/- 0.034,0.053 +/- 0.034
Papillary Renal Cell Carcinoma,0.012 +/- 0.023,0.011 +/- 0.023,0.039 +/- 0.034,0.042 +/- 0.031
Malignant neoplasm of ovary,0.066 +/- 0.039,0.088 +/- 0.057,0.104 +/- 0.059,0.118 +/- 0.063
Steatohepatitis,0.049 +/- 0.041,0.061 +/- 0.04,0.061 +/- 0.04,0.07 +/- 0.029
Disproportionate short stature,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Stomach Neoplasms,0.014 +/- 0.017,0.027 +/- 0.021,0.044 +/- 0.028,0.053 +/- 0.035
Pneumonitis,0.117 +/- 0.041,0.141 +/- 0.024,0.169 +/- 0.035,0.175 +/- 0.035
"Heart Failure, Right-Sided",0.044 +/- 0.044,0.044 +/- 0.044,0.049 +/- 0.052,0.052 +/- 0.058
"Alcoholic Intoxication, Chronic",0.047 +/- 0.042,0.032 +/- 0.024,0.033 +/- 0.025,0.048 +/- 0.025
"Osteoporosis, Senile",0.039 +/- 0.032,0.039 +/- 0.032,0.051 +/- 0.031,0.067 +/- 0.048
Parkinson Disease,0.011 +/- 0.022,0.011 +/- 0.022,0.026 +/- 0.029,0.048 +/- 0.044
"Hepatoma, Novikoff",0.0 +/- 0.0,0.0 +/- 0.0,0.034 +/- 0.018,0.05 +/- 0.022
Malignant neoplasm of prostate,0.201 +/- 0.075,0.168 +/- 0.038,0.116 +/- 0.02,0.111 +/- 0.018
Pneumonia,0.117 +/- 0.041,0.126 +/- 0.028,0.175 +/- 0.035,0.175 +/- 0.035
Carcinomatosis,0.049 +/- 0.018,0.045 +/- 0.013,0.055 +/- 0.028,0.075 +/- 0.035
"Dermatitis, Allergic Contact",0.0 +/- 0.0,0.0 +/- 0.0,0.006 +/- 0.012,0.006 +/- 0.012
Atrial Fibrillation,0.006 +/- 0.013,0.005 +/- 0.011,0.005 +/- 0.011,0.014 +/- 0.015
Craniofacial Abnormalities,0.047 +/- 0.065,0.049 +/- 0.062,0.049 +/- 0.062,0.066 +/- 0.059
Skin Neoplasms,0.018 +/- 0.022,0.025 +/- 0.021,0.032 +/- 0.016,0.058 +/- 0.016
Malignant mesothelioma,0.056 +/- 0.049,0.072 +/- 0.065,0.076 +/- 0.063,0.091 +/- 0.074
