,Top 25,Top 50,Top 100,Top 200
Psoriasis,0.018 +/- 0.036,0.09 +/- 0.006,0.09 +/- 0.006,0.125 +/- 0.041
Liver carcinoma,0.016 +/- 0.012,0.031 +/- 0.006,0.06 +/- 0.018,0.086 +/- 0.025
"Liver Cirrhosis, Experimental",0.012 +/- 0.005,0.016 +/- 0.007,0.027 +/- 0.007,0.036 +/- 0.012
"Diabetes Mellitus, Non-Insulin-Dependent",0.018 +/- 0.024,0.029 +/- 0.033,0.064 +/- 0.046,0.086 +/- 0.05
Papillary Renal Cell Carcinoma,0.016 +/- 0.019,0.024 +/- 0.032,0.047 +/- 0.046,0.081 +/- 0.024
Malignant neoplasm of ovary,0.077 +/- 0.027,0.1 +/- 0.034,0.161 +/- 0.055,0.222 +/- 0.074
Steatohepatitis,0.074 +/- 0.073,0.085 +/- 0.064,0.124 +/- 0.058,0.124 +/- 0.058
Disproportionate short stature,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.039 +/- 0.032
Stomach Neoplasms,0.01 +/- 0.008,0.02 +/- 0.013,0.045 +/- 0.028,0.072 +/- 0.043
Pneumonitis,0.202 +/- 0.065,0.222 +/- 0.042,0.335 +/- 0.078,0.371 +/- 0.059
"Heart Failure, Right-Sided",0.039 +/- 0.058,0.059 +/- 0.074,0.068 +/- 0.069,0.087 +/- 0.082
"Alcoholic Intoxication, Chronic",0.015 +/- 0.014,0.023 +/- 0.014,0.035 +/- 0.019,0.047 +/- 0.023
"Osteoporosis, Senile",0.05 +/- 0.041,0.067 +/- 0.062,0.117 +/- 0.085,0.15 +/- 0.082
Parkinson Disease,0.012 +/- 0.024,0.012 +/- 0.024,0.026 +/- 0.032,0.102 +/- 0.094
"Hepatoma, Novikoff",0.0 +/- 0.0,0.038 +/- 0.075,0.108 +/- 0.074,0.158 +/- 0.069
Malignant neoplasm of prostate,0.03 +/- 0.008,0.038 +/- 0.011,0.071 +/- 0.008,0.091 +/- 0.005
Pneumonia,0.184 +/- 0.055,0.242 +/- 0.05,0.353 +/- 0.071,0.371 +/- 0.059
Carcinomatosis,0.044 +/- 0.016,0.05 +/- 0.015,0.082 +/- 0.044,0.132 +/- 0.072
"Dermatitis, Allergic Contact",0.0 +/- 0.0,0.0 +/- 0.0,0.017 +/- 0.033,0.033 +/- 0.041
Atrial Fibrillation,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.021 +/- 0.028
Craniofacial Abnormalities,0.02 +/- 0.04,0.026 +/- 0.039,0.053 +/- 0.045,0.059 +/- 0.057
Skin Neoplasms,0.018 +/- 0.036,0.053 +/- 0.072,0.089 +/- 0.058,0.126 +/- 0.046
Malignant mesothelioma,0.059 +/- 0.077,0.087 +/- 0.083,0.105 +/- 0.082,0.105 +/- 0.082
Tonic - clonic seizures,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
"Adenocarcinoma, Basal Cell",0.044 +/- 0.029,0.07 +/- 0.036,0.106 +/- 0.037,0.194 +/- 0.05
"Seizures, Auditory",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.01 +/- 0.02
Alzheimer's Disease,0.057 +/- 0.051,0.067 +/- 0.062,0.087 +/- 0.069,0.098 +/- 0.067
"Epilepsy, Cryptogenic",0.012 +/- 0.025,0.025 +/- 0.031,0.025 +/- 0.031,0.063 +/- 0.056
Peripheral Nervous System Diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.055 +/- 0.073,0.093 +/- 0.081
Allodynia,0.062 +/- 0.056,0.074 +/- 0.047,0.085 +/- 0.049,0.098 +/- 0.064
Insulin Sensitivity,0.071 +/- 0.068,0.071 +/- 0.068,0.106 +/- 0.09,0.158 +/- 0.131
Chromophobe Renal Cell Carcinoma,0.016 +/- 0.019,0.031 +/- 0.03,0.055 +/- 0.047,0.088 +/- 0.043
Anaplastic carcinoma,0.037 +/- 0.012,0.05 +/- 0.015,0.076 +/- 0.044,0.12 +/- 0.073
Spontaneous abortion,0.02 +/- 0.024,0.05 +/- 0.077,0.068 +/- 0.068,0.086 +/- 0.072
Manic Disorder,0.0 +/- 0.0,0.0 +/- 0.0,0.013 +/- 0.027,0.028 +/- 0.034
Cocaine Abuse,0.065 +/- 0.026,0.082 +/- 0.052,0.091 +/- 0.047,0.138 +/- 0.067
Acute Cerebrovascular Accidents,0.093 +/- 0.058,0.093 +/- 0.058,0.093 +/- 0.058,0.111 +/- 0.089
Brain Ischemia,0.117 +/- 0.067,0.133 +/- 0.041,0.167 +/- 0.053,0.2 +/- 0.113
"Hyperalgesia, Primary",0.049 +/- 0.047,0.074 +/- 0.047,0.085 +/- 0.049,0.11 +/- 0.061
Nonsyndromic Deafness,0.015 +/- 0.031,0.015 +/- 0.031,0.031 +/- 0.062,0.031 +/- 0.062
Vertiginous seizure,0.0 +/- 0.0,0.0 +/- 0.0,0.01 +/- 0.02,0.01 +/- 0.02
Non-Convulsive Status Epilepticus,0.0 +/- 0.0,0.015 +/- 0.031,0.03 +/- 0.036,0.09 +/- 0.074
Amphetamine Addiction,0.013 +/- 0.027,0.013 +/- 0.027,0.04 +/- 0.053,0.053 +/- 0.065
"Carcinoma, Cribriform",0.036 +/- 0.034,0.062 +/- 0.062,0.124 +/- 0.036,0.168 +/- 0.054
Mouth Neoplasms,0.091 +/- 0.081,0.109 +/- 0.089,0.145 +/- 0.136,0.182 +/- 0.152
