,Top 25,Top 50,Top 100,Top 200
Psoriasis,0.011 +/- 0.022,0.013 +/- 0.016,0.013 +/- 0.016,0.013 +/- 0.016
Liver carcinoma,0.033 +/- 0.021,0.052 +/- 0.013,0.051 +/- 0.02,0.042 +/- 0.02
"Liver Cirrhosis, Experimental",0.011 +/- 0.012,0.014 +/- 0.013,0.03 +/- 0.006,0.039 +/- 0.007
"Diabetes Mellitus, Non-Insulin-Dependent",0.027 +/- 0.013,0.024 +/- 0.015,0.027 +/- 0.006,0.015 +/- 0.003
Papillary Renal Cell Carcinoma,0.008 +/- 0.016,0.011 +/- 0.013,0.022 +/- 0.019,0.02 +/- 0.012
Malignant neoplasm of ovary,0.055 +/- 0.032,0.058 +/- 0.031,0.051 +/- 0.027,0.03 +/- 0.012
Steatohepatitis,0.041 +/- 0.05,0.031 +/- 0.028,0.017 +/- 0.016,0.013 +/- 0.007
Disproportionate short stature,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.007
Stomach Neoplasms,0.014 +/- 0.019,0.03 +/- 0.025,0.04 +/- 0.026,0.036 +/- 0.023
Pneumonitis,0.123 +/- 0.041,0.079 +/- 0.016,0.061 +/- 0.018,0.032 +/- 0.01
"Heart Failure, Right-Sided",0.026 +/- 0.021,0.017 +/- 0.014,0.013 +/- 0.012,0.011 +/- 0.009
"Alcoholic Intoxication, Chronic",0.026 +/- 0.029,0.02 +/- 0.022,0.016 +/- 0.013,0.016 +/- 0.007
"Osteoporosis, Senile",0.032 +/- 0.026,0.019 +/- 0.016,0.021 +/- 0.017,0.015 +/- 0.016
Parkinson Disease,0.01 +/- 0.019,0.006 +/- 0.012,0.01 +/- 0.008,0.013 +/- 0.011
"Hepatoma, Novikoff",0.0 +/- 0.0,0.006 +/- 0.012,0.034 +/- 0.016,0.022 +/- 0.009
Malignant neoplasm of prostate,0.047 +/- 0.016,0.068 +/- 0.017,0.069 +/- 0.007,0.06 +/- 0.008
Pneumonia,0.123 +/- 0.041,0.079 +/- 0.016,0.061 +/- 0.018,0.032 +/- 0.01
Carcinomatosis,0.028 +/- 0.014,0.024 +/- 0.0,0.027 +/- 0.018,0.024 +/- 0.013
"Dermatitis, Allergic Contact",0.011 +/- 0.022,0.006 +/- 0.013,0.007 +/- 0.009,0.004 +/- 0.005
Atrial Fibrillation,0.008 +/- 0.015,0.01 +/- 0.012,0.012 +/- 0.012,0.01 +/- 0.01
Craniofacial Abnormalities,0.029 +/- 0.035,0.03 +/- 0.029,0.021 +/- 0.018,0.017 +/- 0.01
Skin Neoplasms,0.022 +/- 0.027,0.02 +/- 0.016,0.014 +/- 0.007,0.017 +/- 0.007
Malignant mesothelioma,0.044 +/- 0.028,0.045 +/- 0.038,0.03 +/- 0.022,0.022 +/- 0.015
Tonic - clonic seizures,0.0 +/- 0.0,0.0 +/- 0.0,0.003 +/- 0.007,0.002 +/- 0.004
"Adenocarcinoma, Basal Cell",0.025 +/- 0.02,0.038 +/- 0.013,0.055 +/- 0.013,0.034 +/- 0.007
"Seizures, Auditory",0.0 +/- 0.0,0.0 +/- 0.0,0.007 +/- 0.008,0.005 +/- 0.007
Alzheimer's Disease,0.074 +/- 0.047,0.053 +/- 0.038,0.037 +/- 0.022,0.02 +/- 0.012
"Epilepsy, Cryptogenic",0.039 +/- 0.037,0.03 +/- 0.027,0.017 +/- 0.015,0.011 +/- 0.009
Peripheral Nervous System Diseases,0.0 +/- 0.0,0.013 +/- 0.016,0.011 +/- 0.009,0.006 +/- 0.005
Allodynia,0.029 +/- 0.039,0.018 +/- 0.024,0.021 +/- 0.013,0.015 +/- 0.009
Insulin Sensitivity,0.033 +/- 0.044,0.02 +/- 0.026,0.014 +/- 0.013,0.011 +/- 0.007
Chromophobe Renal Cell Carcinoma,0.008 +/- 0.016,0.011 +/- 0.013,0.022 +/- 0.019,0.02 +/- 0.012
Anaplastic carcinoma,0.028 +/- 0.014,0.024 +/- 0.0,0.027 +/- 0.018,0.024 +/- 0.013
Spontaneous abortion,0.026 +/- 0.035,0.034 +/- 0.028,0.023 +/- 0.017,0.013 +/- 0.009
Manic Disorder,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004,0.0 +/- 0.0
Cocaine Abuse,0.05 +/- 0.028,0.039 +/- 0.02,0.023 +/- 0.013,0.032 +/- 0.016
Acute Cerebrovascular Accidents,0.039 +/- 0.032,0.025 +/- 0.018,0.013 +/- 0.01,0.037 +/- 0.03
Brain Ischemia,0.032 +/- 0.02,0.032 +/- 0.013,0.019 +/- 0.006,0.033 +/- 0.021
"Hyperalgesia, Primary",0.018 +/- 0.024,0.021 +/- 0.013,0.015 +/- 0.009,0.016 +/- 0.015
Nonsyndromic Deafness,0.006 +/- 0.013,0.004 +/- 0.007,0.002 +/- 0.004,0.004 +/- 0.009
Vertiginous seizure,0.0 +/- 0.0,0.007 +/- 0.008,0.005 +/- 0.007,0.007 +/- 0.008
Non-Convulsive Status Epilepticus,0.006 +/- 0.013,0.007 +/- 0.009,0.004 +/- 0.005,0.005 +/- 0.01
Amphetamine Addiction,0.0 +/- 0.0,0.003 +/- 0.007,0.007 +/- 0.009,0.004 +/- 0.009
"Carcinoma, Cribriform",0.038 +/- 0.013,0.055 +/- 0.013,0.034 +/- 0.007,0.049 +/- 0.012
Mouth Neoplasms,0.039 +/- 0.032,0.029 +/- 0.027,0.015 +/- 0.014,0.037 +/- 0.03
Amyotrophic Lateral Sclerosis,0.032 +/- 0.029,0.021 +/- 0.021,0.011 +/- 0.011,0.029 +/- 0.026
Ovarian Serous Adenocarcinoma,0.007 +/- 0.015,0.004 +/- 0.008,0.008 +/- 0.007,0.014 +/- 0.029
"Condition, Preneoplastic",0.012 +/- 0.014,0.013 +/- 0.016,0.007 +/- 0.009,0.012 +/- 0.015
Mycoplasma-Induced Stevens-Johnson Syndrome,0.029 +/- 0.014,0.015 +/- 0.008,0.008 +/- 0.004,0.046 +/- 0.023
Respiratory Hypersensitivity,0.029 +/- 0.015,0.015 +/- 0.008,0.008 +/- 0.004,0.031 +/- 0.038
"Hyperglycemia, Postprandial",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Primary microcephaly,0.037 +/- 0.033,0.023 +/- 0.014,0.014 +/- 0.01,0.062 +/- 0.058
"Necrotizing encephalopathy, infantile subacute, of Leigh",0.098 +/- 0.06,0.052 +/- 0.032,0.039 +/- 0.019,0.111 +/- 0.075
Disorder of eye,0.053 +/- 0.03,0.043 +/- 0.022,0.025 +/- 0.013,0.024 +/- 0.012
Childhood Acute Lymphoblastic Leukemia,0.013 +/- 0.016,0.011 +/- 0.014,0.009 +/- 0.012,0.013 +/- 0.016
Arsenic Encephalopathy,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Paroxysmal atrial fibrillation,0.021 +/- 0.019,0.016 +/- 0.01,0.014 +/- 0.007,0.017 +/- 0.009
"Mammary Neoplasms, Human",0.056 +/- 0.025,0.056 +/- 0.027,0.045 +/- 0.019,0.031 +/- 0.011
Spinocerebellar Ataxia Type 4,0.007 +/- 0.014,0.004 +/- 0.007,0.004 +/- 0.005,0.01 +/- 0.019
Myocardial Reperfusion Injury,0.026 +/- 0.024,0.029 +/- 0.015,0.015 +/- 0.008,0.03 +/- 0.022
Left Middle Cerebral Artery Infarction,0.014 +/- 0.017,0.008 +/- 0.009,0.004 +/- 0.005,0.01 +/- 0.02
IGA Glomerulonephritis,0.007 +/- 0.014,0.004 +/- 0.007,0.004 +/- 0.005,0.0 +/- 0.0
Glioblastoma Multiforme,0.028 +/- 0.018,0.03 +/- 0.024,0.027 +/- 0.016,0.033 +/- 0.024
Schizophrenia,0.028 +/- 0.016,0.035 +/- 0.009,0.048 +/- 0.008,0.029 +/- 0.005
Involutional Depression,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Kidney Failure,0.015 +/- 0.018,0.008 +/- 0.009,0.004 +/- 0.005,0.03 +/- 0.037
Stevens-Johnson Syndrome,0.007 +/- 0.014,0.008 +/- 0.009,0.008 +/- 0.004,0.011 +/- 0.022
Fibrillary Astrocytoma,0.029 +/- 0.027,0.015 +/- 0.014,0.008 +/- 0.007,0.025 +/- 0.031
Arsenic Poisoning,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Ischemia,0.007 +/- 0.015,0.008 +/- 0.009,0.004 +/- 0.005,0.012 +/- 0.024
Sarcomatoid Renal Cell Carcinoma,0.011 +/- 0.013,0.022 +/- 0.019,0.02 +/- 0.012,0.021 +/- 0.018
"Epilepsy, Temporal Lobe",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
"Encephalopathy, Toxic",0.0 +/- 0.0,0.004 +/- 0.008,0.004 +/- 0.005,0.0 +/- 0.0
Epileptic encephalopathy,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Developmental Disabilities,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Neuroblastoma,0.04 +/- 0.039,0.026 +/- 0.019,0.013 +/- 0.01,0.042 +/- 0.041
Neoplastic Cell Transformation,0.027 +/- 0.017,0.029 +/- 0.012,0.02 +/- 0.009,0.027 +/- 0.012
Cocaine-Related Disorders,0.04 +/- 0.029,0.036 +/- 0.028,0.022 +/- 0.013,0.032 +/- 0.025
Crohn's disease of the ileum,0.007 +/- 0.014,0.004 +/- 0.007,0.002 +/- 0.004,0.008 +/- 0.015
Early Pregnancy Loss,0.034 +/- 0.028,0.023 +/- 0.017,0.013 +/- 0.009,0.022 +/- 0.016
Colorectal Carcinoma,0.043 +/- 0.023,0.055 +/- 0.023,0.05 +/- 0.018,0.027 +/- 0.006
Bilateral Wilms Tumor,0.007 +/- 0.014,0.011 +/- 0.009,0.006 +/- 0.005,0.0 +/- 0.0
"Carcinoid, Goblet Cell",0.0 +/- 0.0,0.016 +/- 0.015,0.008 +/- 0.007,0.0 +/- 0.0
"Fibrosis, Liver",0.017 +/- 0.014,0.01 +/- 0.008,0.005 +/- 0.004,0.01 +/- 0.008
Acute Confusional Senile Dementia,0.041 +/- 0.035,0.024 +/- 0.02,0.015 +/- 0.012,0.024 +/- 0.02
"Hyalinosis, Segmental Glomerular",0.014 +/- 0.017,0.019 +/- 0.017,0.012 +/- 0.01,0.024 +/- 0.029
Lymphatic Metastasis,0.015 +/- 0.029,0.011 +/- 0.015,0.008 +/- 0.007,0.0 +/- 0.0
Chemically-Induced Liver Toxicity,0.014 +/- 0.013,0.039 +/- 0.024,0.03 +/- 0.017,0.02 +/- 0.009
Familial Idiopathic Pulmonary Fibrosis,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.005,0.0 +/- 0.0
Calcinosis,0.041 +/- 0.014,0.022 +/- 0.007,0.012 +/- 0.004,0.04 +/- 0.025
Simple Partial Status Epilepticus,0.006 +/- 0.013,0.007 +/- 0.009,0.004 +/- 0.005,0.005 +/- 0.01
