,Top 25,Top 50,Top 100,Top 200
Psoriasis,0.012 +/- 0.024,0.02 +/- 0.025,0.02 +/- 0.025,0.031 +/- 0.019
Liver carcinoma,0.101 +/- 0.064,0.088 +/- 0.046,0.065 +/- 0.025,0.073 +/- 0.028
"Liver Cirrhosis, Experimental",0.049 +/- 0.059,0.037 +/- 0.035,0.041 +/- 0.016,0.045 +/- 0.009
"Diabetes Mellitus, Non-Insulin-Dependent",0.062 +/- 0.051,0.046 +/- 0.04,0.054 +/- 0.033,0.056 +/- 0.036
Papillary Renal Cell Carcinoma,0.022 +/- 0.029,0.021 +/- 0.028,0.037 +/- 0.034,0.05 +/- 0.034
Malignant neoplasm of ovary,0.075 +/- 0.042,0.097 +/- 0.054,0.116 +/- 0.059,0.129 +/- 0.067
Steatohepatitis,0.035 +/- 0.043,0.041 +/- 0.04,0.041 +/- 0.04,0.055 +/- 0.029
Disproportionate short stature,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.009 +/- 0.018
Stomach Neoplasms,0.026 +/- 0.036,0.031 +/- 0.031,0.045 +/- 0.03,0.057 +/- 0.039
Pneumonitis,0.117 +/- 0.041,0.134 +/- 0.024,0.162 +/- 0.041,0.173 +/- 0.035
"Heart Failure, Right-Sided",0.042 +/- 0.038,0.042 +/- 0.038,0.042 +/- 0.038,0.046 +/- 0.044
"Alcoholic Intoxication, Chronic",0.049 +/- 0.045,0.031 +/- 0.028,0.034 +/- 0.023,0.04 +/- 0.024
"Osteoporosis, Senile",0.037 +/- 0.031,0.037 +/- 0.031,0.055 +/- 0.038,0.066 +/- 0.056
Parkinson Disease,0.01 +/- 0.02,0.01 +/- 0.02,0.015 +/- 0.02,0.045 +/- 0.041
"Hepatoma, Novikoff",0.0 +/- 0.0,0.0 +/- 0.0,0.034 +/- 0.017,0.05 +/- 0.022
Malignant neoplasm of prostate,0.205 +/- 0.069,0.164 +/- 0.04,0.113 +/- 0.019,0.111 +/- 0.018
Pneumonia,0.117 +/- 0.041,0.134 +/- 0.024,0.162 +/- 0.04,0.173 +/- 0.034
Carcinomatosis,0.043 +/- 0.027,0.04 +/- 0.016,0.054 +/- 0.029,0.077 +/- 0.036
"Dermatitis, Allergic Contact",0.009 +/- 0.018,0.009 +/- 0.018,0.015 +/- 0.019,0.015 +/- 0.019
Atrial Fibrillation,0.007 +/- 0.014,0.006 +/- 0.012,0.006 +/- 0.012,0.012 +/- 0.017
Craniofacial Abnormalities,0.046 +/- 0.065,0.048 +/- 0.062,0.048 +/- 0.062,0.066 +/- 0.059
Skin Neoplasms,0.018 +/- 0.022,0.025 +/- 0.021,0.031 +/- 0.016,0.058 +/- 0.016
Malignant mesothelioma,0.056 +/- 0.048,0.071 +/- 0.064,0.076 +/- 0.062,0.091 +/- 0.074
Tonic - clonic seizures,0.0 +/- 0.0,0.0 +/- 0.0,0.005 +/- 0.009,0.009 +/- 0.011
"Adenocarcinoma, Basal Cell",0.032 +/- 0.019,0.052 +/- 0.032,0.085 +/- 0.033,0.113 +/- 0.031
"Seizures, Auditory",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.007
Alzheimer's Disease,0.113 +/- 0.086,0.118 +/- 0.094,0.118 +/- 0.094,0.122 +/- 0.091
"Epilepsy, Cryptogenic",0.036 +/- 0.033,0.042 +/- 0.038,0.042 +/- 0.038,0.055 +/- 0.034
Peripheral Nervous System Diseases,0.0 +/- 0.0,0.008 +/- 0.016,0.021 +/- 0.018,0.021 +/- 0.018
Allodynia,0.035 +/- 0.031,0.041 +/- 0.034,0.051 +/- 0.033,0.06 +/- 0.04
Insulin Sensitivity,0.065 +/- 0.056,0.065 +/- 0.056,0.078 +/- 0.073,0.089 +/- 0.071
Chromophobe Renal Cell Carcinoma,0.021 +/- 0.028,0.02 +/- 0.028,0.032 +/- 0.033,0.045 +/- 0.03
Anaplastic carcinoma,0.044 +/- 0.026,0.041 +/- 0.016,0.055 +/- 0.027,0.075 +/- 0.035
Spontaneous abortion,0.022 +/- 0.028,0.038 +/- 0.032,0.042 +/- 0.032,0.042 +/- 0.032
Manic Disorder,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.005 +/- 0.01
Cocaine Abuse,0.042 +/- 0.027,0.056 +/- 0.021,0.071 +/- 0.029,0.081 +/- 0.037
Acute Cerebrovascular Accidents,0.124 +/- 0.135,0.133 +/- 0.128,0.139 +/- 0.132,0.139 +/- 0.132
Brain Ischemia,0.076 +/- 0.052,0.076 +/- 0.052,0.102 +/- 0.056,0.108 +/- 0.05
"Hyperalgesia, Primary",0.033 +/- 0.03,0.04 +/- 0.034,0.05 +/- 0.032,0.059 +/- 0.04
Nonsyndromic Deafness,0.033 +/- 0.066,0.033 +/- 0.066,0.033 +/- 0.066,0.033 +/- 0.066
Vertiginous seizure,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.009,0.004 +/- 0.009
Non-Convulsive Status Epilepticus,0.0 +/- 0.0,0.007 +/- 0.014,0.007 +/- 0.014,0.012 +/- 0.015
Amphetamine Addiction,0.0 +/- 0.0,0.0 +/- 0.0,0.006 +/- 0.012,0.011 +/- 0.013
"Carcinoma, Cribriform",0.028 +/- 0.024,0.053 +/- 0.031,0.082 +/- 0.025,0.1 +/- 0.034
Mouth Neoplasms,0.095 +/- 0.094,0.111 +/- 0.094,0.111 +/- 0.094,0.124 +/- 0.103
Amyotrophic Lateral Sclerosis,0.081 +/- 0.162,0.089 +/- 0.159,0.089 +/- 0.159,0.095 +/- 0.156
Ovarian Serous Adenocarcinoma,0.02 +/- 0.041,0.02 +/- 0.041,0.02 +/- 0.041,0.041 +/- 0.038
"Condition, Preneoplastic",0.013 +/- 0.027,0.013 +/- 0.027,0.026 +/- 0.036,0.026 +/- 0.036
Mycoplasma-Induced Stevens-Johnson Syndrome,0.074 +/- 0.078,0.086 +/- 0.07,0.095 +/- 0.069,0.104 +/- 0.059
Respiratory Hypersensitivity,0.1 +/- 0.151,0.129 +/- 0.135,0.129 +/- 0.135,0.129 +/- 0.135
"Hyperglycemia, Postprandial",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Primary microcephaly,0.154 +/- 0.159,0.17 +/- 0.185,0.181 +/- 0.175,0.193 +/- 0.195
"Necrotizing encephalopathy, infantile subacute, of Leigh",0.194 +/- 0.126,0.224 +/- 0.148,0.224 +/- 0.148,0.269 +/- 0.16
Disorder of eye,0.18 +/- 0.092,0.126 +/- 0.065,0.135 +/- 0.068,0.138 +/- 0.063
Childhood Acute Lymphoblastic Leukemia,0.041 +/- 0.06,0.041 +/- 0.06,0.041 +/- 0.06,0.053 +/- 0.072
Arsenic Encephalopathy,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Paroxysmal atrial fibrillation,0.023 +/- 0.02,0.02 +/- 0.017,0.026 +/- 0.011,0.029 +/- 0.01
"Mammary Neoplasms, Human",0.19 +/- 0.068,0.125 +/- 0.038,0.085 +/- 0.032,0.09 +/- 0.025
Spinocerebellar Ataxia Type 4,0.024 +/- 0.047,0.024 +/- 0.047,0.024 +/- 0.047,0.031 +/- 0.046
Myocardial Reperfusion Injury,0.036 +/- 0.047,0.054 +/- 0.055,0.064 +/- 0.045,0.064 +/- 0.045
Left Middle Cerebral Artery Infarction,0.014 +/- 0.028,0.025 +/- 0.031,0.025 +/- 0.031,0.025 +/- 0.031
IGA Glomerulonephritis,0.0 +/- 0.0,0.01 +/- 0.02,0.01 +/- 0.02,0.018 +/- 0.022
Glioblastoma Multiforme,0.013 +/- 0.016,0.028 +/- 0.018,0.041 +/- 0.033,0.067 +/- 0.041
Schizophrenia,0.087 +/- 0.128,0.079 +/- 0.077,0.061 +/- 0.041,0.056 +/- 0.025
Involutional Depression,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Kidney Failure,0.065 +/- 0.082,0.065 +/- 0.082,0.065 +/- 0.082,0.076 +/- 0.077
Stevens-Johnson Syndrome,0.043 +/- 0.035,0.055 +/- 0.052,0.064 +/- 0.046,0.064 +/- 0.046
Fibrillary Astrocytoma,0.082 +/- 0.131,0.107 +/- 0.149,0.107 +/- 0.149,0.117 +/- 0.169
Arsenic Poisoning,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Ischemia,0.023 +/- 0.045,0.023 +/- 0.045,0.023 +/- 0.045,0.023 +/- 0.045
Sarcomatoid Renal Cell Carcinoma,0.021 +/- 0.028,0.025 +/- 0.034,0.033 +/- 0.032,0.05 +/- 0.034
"Epilepsy, Temporal Lobe",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
"Encephalopathy, Toxic",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.018 +/- 0.022
Epileptic encephalopathy,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.009 +/- 0.017
Developmental Disabilities,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Neuroblastoma,0.027 +/- 0.033,0.062 +/- 0.054,0.069 +/- 0.048,0.069 +/- 0.048
Neoplastic Cell Transformation,0.019 +/- 0.016,0.027 +/- 0.018,0.041 +/- 0.016,0.048 +/- 0.019
Cocaine-Related Disorders,0.049 +/- 0.037,0.059 +/- 0.054,0.071 +/- 0.061,0.075 +/- 0.057
Crohn's disease of the ileum,0.013 +/- 0.025,0.013 +/- 0.025,0.013 +/- 0.025,0.013 +/- 0.025
Early Pregnancy Loss,0.024 +/- 0.031,0.039 +/- 0.036,0.044 +/- 0.035,0.047 +/- 0.042
Colorectal Carcinoma,0.044 +/- 0.032,0.06 +/- 0.032,0.054 +/- 0.024,0.056 +/- 0.019
Bilateral Wilms Tumor,0.0 +/- 0.0,0.0 +/- 0.0,0.01 +/- 0.02,0.026 +/- 0.022
"Carcinoid, Goblet Cell",0.0 +/- 0.0,0.0 +/- 0.0,0.05 +/- 0.047,0.05 +/- 0.047
"Fibrosis, Liver",0.008 +/- 0.015,0.018 +/- 0.015,0.018 +/- 0.015,0.018 +/- 0.015
Acute Confusional Senile Dementia,0.067 +/- 0.071,0.072 +/- 0.069,0.077 +/- 0.076,0.085 +/- 0.084
"Hyalinosis, Segmental Glomerular",0.038 +/- 0.048,0.038 +/- 0.048,0.068 +/- 0.068,0.076 +/- 0.067
Lymphatic Metastasis,0.0 +/- 0.0,0.025 +/- 0.051,0.025 +/- 0.051,0.044 +/- 0.046
Chemically-Induced Liver Toxicity,0.012 +/- 0.024,0.011 +/- 0.015,0.031 +/- 0.02,0.038 +/- 0.021
Familial Idiopathic Pulmonary Fibrosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.021 +/- 0.026
Calcinosis,0.103 +/- 0.066,0.103 +/- 0.066,0.112 +/- 0.054,0.112 +/- 0.054
Simple Partial Status Epilepticus,0.0 +/- 0.0,0.007 +/- 0.014,0.007 +/- 0.014,0.012 +/- 0.016
Desmoplastic Medulloblastoma,0.016 +/- 0.032,0.016 +/- 0.032,0.032 +/- 0.047,0.06 +/- 0.035
"Carcinoma, Ovarian Epithelial",0.03 +/- 0.037,0.053 +/- 0.05,0.053 +/- 0.05,0.053 +/- 0.05
Microcalcification,0.103 +/- 0.066,0.103 +/- 0.066,0.111 +/- 0.054,0.111 +/- 0.054
Ovarian Mucinous Adenocarcinoma,0.014 +/- 0.028,0.014 +/- 0.028,0.025 +/- 0.031,0.033 +/- 0.044
Diabetes Mellitus,0.0 +/- 0.0,0.012 +/- 0.024,0.012 +/- 0.024,0.019 +/- 0.025
Female infertility,0.028 +/- 0.035,0.054 +/- 0.052,0.088 +/- 0.086,0.088 +/- 0.086
Malignant neoplasm of breast,0.204 +/- 0.081,0.143 +/- 0.046,0.094 +/- 0.033,0.068 +/- 0.02
Single Seizure,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.008
"Hearing Loss, Extreme",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
