,Top 25,Top 50,Top 100,Top 200
Psoriasis,0.0 +/- 0.0,0.035 +/- 0.043,0.07 +/- 0.035,0.108 +/- 0.037
Liver carcinoma,0.025 +/- 0.011,0.037 +/- 0.011,0.051 +/- 0.02,0.07 +/- 0.03
"Liver Cirrhosis, Experimental",0.007 +/- 0.007,0.012 +/- 0.01,0.029 +/- 0.007,0.046 +/- 0.005
"Diabetes Mellitus, Non-Insulin-Dependent",0.018 +/- 0.014,0.029 +/- 0.018,0.045 +/- 0.014,0.045 +/- 0.014
Papillary Renal Cell Carcinoma,0.016 +/- 0.032,0.016 +/- 0.032,0.07 +/- 0.062,0.079 +/- 0.054
Malignant neoplasm of ovary,0.046 +/- 0.03,0.092 +/- 0.051,0.123 +/- 0.062,0.153 +/- 0.065
Steatohepatitis,0.085 +/- 0.073,0.11 +/- 0.075,0.11 +/- 0.075,0.138 +/- 0.052
Disproportionate short stature,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Stomach Neoplasms,0.007 +/- 0.008,0.028 +/- 0.02,0.058 +/- 0.035,0.076 +/- 0.046
Pneumonitis,0.202 +/- 0.065,0.26 +/- 0.04,0.335 +/- 0.078,0.353 +/- 0.071
"Heart Failure, Right-Sided",0.039 +/- 0.037,0.039 +/- 0.037,0.049 +/- 0.055,0.059 +/- 0.074
"Alcoholic Intoxication, Chronic",0.019 +/- 0.021,0.023 +/- 0.019,0.027 +/- 0.02,0.054 +/- 0.031
"Osteoporosis, Senile",0.05 +/- 0.041,0.05 +/- 0.041,0.083 +/- 0.053,0.133 +/- 0.113
Parkinson Disease,0.012 +/- 0.024,0.012 +/- 0.024,0.05 +/- 0.045,0.114 +/- 0.099
"Hepatoma, Novikoff",0.0 +/- 0.0,0.0 +/- 0.0,0.097 +/- 0.053,0.145 +/- 0.068
Malignant neoplasm of prostate,0.028 +/- 0.011,0.051 +/- 0.01,0.064 +/- 0.008,0.081 +/- 0.012
Pneumonia,0.202 +/- 0.065,0.222 +/- 0.042,0.353 +/- 0.071,0.353 +/- 0.071
Carcinomatosis,0.031 +/- 0.001,0.038 +/- 0.013,0.057 +/- 0.038,0.101 +/- 0.063
"Dermatitis, Allergic Contact",0.0 +/- 0.0,0.0 +/- 0.0,0.014 +/- 0.029,0.014 +/- 0.029
Atrial Fibrillation,0.007 +/- 0.014,0.007 +/- 0.014,0.007 +/- 0.014,0.028 +/- 0.027
Craniofacial Abnormalities,0.026 +/- 0.032,0.04 +/- 0.039,0.04 +/- 0.039,0.079 +/- 0.034
