,Top 25,Top 50,Top 100,Top 200
Manic Disorder,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.005 +/- 0.01
Cocaine Abuse,0.042 +/- 0.027,0.056 +/- 0.021,0.071 +/- 0.029,0.081 +/- 0.037
Acute Cerebrovascular Accidents,0.124 +/- 0.135,0.133 +/- 0.128,0.139 +/- 0.132,0.139 +/- 0.132
Brain Ischemia,0.076 +/- 0.052,0.076 +/- 0.052,0.102 +/- 0.056,0.108 +/- 0.05
"Hyperalgesia, Primary",0.033 +/- 0.03,0.04 +/- 0.034,0.05 +/- 0.032,0.059 +/- 0.04
Nonsyndromic Deafness,0.033 +/- 0.066,0.033 +/- 0.066,0.033 +/- 0.066,0.033 +/- 0.066
Vertiginous seizure,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.009,0.004 +/- 0.009
Non-Convulsive Status Epilepticus,0.0 +/- 0.0,0.007 +/- 0.014,0.007 +/- 0.014,0.012 +/- 0.015
Amphetamine Addiction,0.0 +/- 0.0,0.0 +/- 0.0,0.006 +/- 0.012,0.011 +/- 0.013
"Carcinoma, Cribriform",0.028 +/- 0.024,0.053 +/- 0.031,0.082 +/- 0.025,0.1 +/- 0.034
Mouth Neoplasms,0.095 +/- 0.094,0.111 +/- 0.094,0.111 +/- 0.094,0.124 +/- 0.103
Amyotrophic Lateral Sclerosis,0.081 +/- 0.162,0.089 +/- 0.159,0.089 +/- 0.159,0.095 +/- 0.156
Ovarian Serous Adenocarcinoma,0.02 +/- 0.041,0.02 +/- 0.041,0.02 +/- 0.041,0.041 +/- 0.038
"Condition, Preneoplastic",0.013 +/- 0.027,0.013 +/- 0.027,0.026 +/- 0.036,0.026 +/- 0.036
Mycoplasma-Induced Stevens-Johnson Syndrome,0.074 +/- 0.078,0.086 +/- 0.07,0.095 +/- 0.069,0.104 +/- 0.059
Respiratory Hypersensitivity,0.1 +/- 0.151,0.129 +/- 0.135,0.129 +/- 0.135,0.129 +/- 0.135
"Hyperglycemia, Postprandial",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Primary microcephaly,0.154 +/- 0.159,0.17 +/- 0.185,0.181 +/- 0.175,0.193 +/- 0.195
"Necrotizing encephalopathy, infantile subacute, of Leigh",0.194 +/- 0.126,0.224 +/- 0.148,0.224 +/- 0.148,0.269 +/- 0.16
Disorder of eye,0.18 +/- 0.092,0.126 +/- 0.065,0.135 +/- 0.068,0.138 +/- 0.063
Childhood Acute Lymphoblastic Leukemia,0.041 +/- 0.06,0.041 +/- 0.06,0.041 +/- 0.06,0.053 +/- 0.072
Arsenic Encephalopathy,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Paroxysmal atrial fibrillation,0.023 +/- 0.02,0.02 +/- 0.017,0.026 +/- 0.011,0.029 +/- 0.01
"Mammary Neoplasms, Human",0.19 +/- 0.068,0.125 +/- 0.038,0.085 +/- 0.032,0.09 +/- 0.025
Spinocerebellar Ataxia Type 4,0.024 +/- 0.047,0.024 +/- 0.047,0.024 +/- 0.047,0.031 +/- 0.046
Myocardial Reperfusion Injury,0.036 +/- 0.047,0.054 +/- 0.055,0.064 +/- 0.045,0.064 +/- 0.045
Left Middle Cerebral Artery Infarction,0.014 +/- 0.028,0.025 +/- 0.031,0.025 +/- 0.031,0.025 +/- 0.031
IGA Glomerulonephritis,0.0 +/- 0.0,0.01 +/- 0.02,0.01 +/- 0.02,0.018 +/- 0.022
Glioblastoma Multiforme,0.013 +/- 0.016,0.028 +/- 0.018,0.041 +/- 0.033,0.067 +/- 0.041
Schizophrenia,0.087 +/- 0.128,0.079 +/- 0.077,0.061 +/- 0.041,0.056 +/- 0.025
Involutional Depression,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Kidney Failure,0.065 +/- 0.082,0.065 +/- 0.082,0.065 +/- 0.082,0.076 +/- 0.077
Stevens-Johnson Syndrome,0.043 +/- 0.035,0.055 +/- 0.052,0.064 +/- 0.046,0.064 +/- 0.046
Fibrillary Astrocytoma,0.082 +/- 0.131,0.107 +/- 0.149,0.107 +/- 0.149,0.117 +/- 0.169
