,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.003,0.007,0.014,0.031
Lymphatic Metastasis,0.011,0.022,0.037,0.056
"Condition, Preneoplastic",0.111,0.111,0.111,0.111
Alzheimer's Disease,0.003,0.008,0.014,0.03
Ovarian Mucinous Adenocarcinoma,0.0,0.0,0.0,0.091
Female infertility,0.0,0.111,0.111,0.111
Single Seizure,0.0,0.0,0.0,0.0
Stomach Neoplasms,0.022,0.03,0.051,0.085
Pneumonitis,0.027,0.048,0.068,0.1
Malignant neoplasm of prostate,0.005,0.01,0.021,0.042
Neuroblastoma,0.007,0.013,0.025,0.045
