,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.003,0.007,0.015,0.034
Lymphatic Metastasis,0.008,0.025,0.039,0.065
"Condition, Preneoplastic",0.111,0.111,0.111,0.333
Alzheimer's Disease,0.004,0.008,0.015,0.034
Ovarian Mucinous Adenocarcinoma,0.0,0.0,0.0,0.091
Female infertility,0.0,0.111,0.111,0.111
Single Seizure,0.0,0.0,0.0,0.0
Stomach Neoplasms,0.022,0.03,0.051,0.079
Pneumonitis,0.023,0.037,0.065,0.098
Malignant neoplasm of prostate,0.005,0.011,0.022,0.042
Neuroblastoma,0.007,0.014,0.025,0.042
