,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.006,0.014,0.026,0.061
Lymphatic Metastasis,0.021,0.039,0.053,0.072
"Condition, Preneoplastic",0.059,0.034,0.018,0.01
Alzheimer's Disease,0.006,0.014,0.027,0.062
Ovarian Mucinous Adenocarcinoma,0.0,0.0,0.0,0.019
Female infertility,0.0,0.034,0.018,0.01
Single Seizure,0.0,0.0,0.0,0.0
Stomach Neoplasms,0.046,0.052,0.084,0.118
Pneumonitis,0.051,0.086,0.123,0.152
Malignant neoplasm of prostate,0.01,0.02,0.04,0.081
Neuroblastoma,0.015,0.026,0.048,0.083
