,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.392,0.455,0.503,0.589
Lymphatic Metastasis,0.124,0.136,0.122,0.101
"Condition, Preneoplastic",0.046,0.046,0.046,0.046
Alzheimer's Disease,0.4,0.472,0.421,0.44
Ovarian Mucinous Adenocarcinoma,0.0,0.0,0.0,0.025
Female infertility,0.0,0.042,0.042,0.042
Single Seizure,0.0,0.0,0.0,0.0
Stomach Neoplasms,0.479,0.364,0.302,0.249
Pneumonitis,0.583,0.56,0.439,0.34
Malignant neoplasm of prostate,0.701,0.708,0.721,0.717
Neuroblastoma,0.623,0.587,0.569,0.517
