,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.006,0.013,0.03,0.065
Lymphatic Metastasis,0.016,0.044,0.061,0.083
"Condition, Preneoplastic",0.059,0.034,0.018,0.029
Alzheimer's Disease,0.007,0.015,0.03,0.063
Ovarian Mucinous Adenocarcinoma,0.0,0.0,0.0,0.009
Female infertility,0.0,0.034,0.018,0.01
Single Seizure,0.0,0.0,0.0,0.0
Stomach Neoplasms,0.043,0.055,0.084,0.113
Pneumonitis,0.045,0.068,0.111,0.147
Malignant neoplasm of prostate,0.011,0.021,0.042,0.079
Neuroblastoma,0.014,0.028,0.047,0.077
