,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.006,0.013,0.025,0.06
Lymphatic Metastasis,0.016,0.034,0.061,0.068
"Condition, Preneoplastic",0.059,0.034,0.018,0.01
Alzheimer's Disease,0.007,0.014,0.027,0.063
Ovarian Mucinous Adenocarcinoma,0.0,0.0,0.0,0.009
Female infertility,0.0,0.034,0.018,0.01
Single Seizure,0.0,0.0,0.0,0.0
Stomach Neoplasms,0.05,0.055,0.084,0.116
Pneumonitis,0.051,0.086,0.12,0.155
Malignant neoplasm of prostate,0.01,0.02,0.039,0.081
Neuroblastoma,0.015,0.026,0.046,0.082
