,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.006,0.013,0.027,0.06
Lymphatic Metastasis,0.021,0.039,0.057,0.072
"Condition, Preneoplastic",0.059,0.034,0.018,0.01
Alzheimer's Disease,0.007,0.016,0.027,0.056
Ovarian Mucinous Adenocarcinoma,0.0,0.0,0.0,0.009
Female infertility,0.0,0.034,0.018,0.01
Single Seizure,0.0,0.0,0.0,0.0
Stomach Neoplasms,0.043,0.055,0.084,0.121
Pneumonitis,0.051,0.089,0.117,0.15
Malignant neoplasm of prostate,0.01,0.02,0.041,0.079
Neuroblastoma,0.015,0.026,0.048,0.082
