,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.369,0.441,0.48,0.592
Lymphatic Metastasis,0.086,0.114,0.124,0.094
"Condition, Preneoplastic",0.045,0.045,0.045,0.045
Alzheimer's Disease,0.357,0.4,0.401,0.471
Ovarian Mucinous Adenocarcinoma,0.0,0.0,0.0,0.025
Female infertility,0.0,0.042,0.042,0.042
Single Seizure,0.0,0.0,0.0,0.0
Stomach Neoplasms,0.522,0.36,0.3,0.24
Pneumonitis,0.582,0.546,0.446,0.348
Malignant neoplasm of prostate,0.698,0.703,0.695,0.725
Neuroblastoma,0.603,0.574,0.546,0.511
