,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.392,0.47,0.497,0.598
Lymphatic Metastasis,0.114,0.13,0.111,0.099
"Condition, Preneoplastic",0.046,0.046,0.046,0.046
Alzheimer's Disease,0.359,0.419,0.413,0.47
Ovarian Mucinous Adenocarcinoma,0.0,0.0,0.0,0.052
Female infertility,0.0,0.042,0.042,0.042
Single Seizure,0.0,0.0,0.0,0.0
Stomach Neoplasms,0.494,0.34,0.296,0.241
Pneumonitis,0.581,0.545,0.453,0.344
Malignant neoplasm of prostate,0.699,0.705,0.704,0.723
Neuroblastoma,0.604,0.575,0.561,0.515
