,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.413,0.482,0.572,0.648
Lymphatic Metastasis,0.104,0.153,0.132,0.115
"Condition, Preneoplastic",0.045,0.045,0.045,0.097
Alzheimer's Disease,0.401,0.429,0.441,0.482
Ovarian Mucinous Adenocarcinoma,0.0,0.0,0.0,0.025
Female infertility,0.0,0.046,0.046,0.046
Single Seizure,0.0,0.0,0.0,0.0
Stomach Neoplasms,0.446,0.341,0.287,0.228
Pneumonitis,0.568,0.477,0.424,0.335
Malignant neoplasm of prostate,0.725,0.722,0.738,0.719
Neuroblastoma,0.609,0.62,0.566,0.498
