,number_of_disease_genes,number_of_connected_components,percentage_of_connected_components,LCC_size,density,density_of_LCC,percentage_of_disease_genes_in_LCC,longest_shortest_path_in_interactome,longest_shortest_path_in_LCC,average_path_length,diameter_of_LCC,average_degree,clustering_coefficient,modularity,global_efficency,assortativity,number_of_community,node_connectivity,edge_connectivity,spectral_radius,spectral_gap,natural_connectivity,algebraic_connectivity,num_spanning_trees
Psoriasis,56,32,0.5714285714285714,21,0.02012987012987013,0.12857142857142856,0.375,5,7,1.08843537414966,7,1.1071428571428572,0.04623015873015873,0.4895941727367325,0.06401051329622763,-0.33560090702947815,7,0,0,3.72,1.19,0.76,-0.0,0.0
Liver carcinoma,487,90,0.18480492813141683,395,0.019688865228449988,0.02990426010409304,0.811088295687885,5,7,2.263431497413771,7,9.568788501026694,0.19939050356939597,0.004283832820645027,0.25898245626769145,-0.12571716782425327,11,0,0,28.98,16.58,22.79,0.0,-0.0
"Liver Cirrhosis, Experimental",746,130,0.1742627345844504,614,0.0069777066052503734,0.01028742075869728,0.8230563002680965,5,8,2.8450541869340067,8,5.198391420911528,0.09144147713552807,0.043587941764827755,0.21351557727233506,-0.11237131960550664,16,0,0,17.36,6.82,10.75,0.29,-0.0
"Diabetes Mellitus, Non-Insulin-Dependent",177,72,0.4067796610169492,91,0.00995120698510529,0.03418803418803419,0.5141242937853108,5,11,2.2850652172686066,11,1.7514124293785311,0.06321545603436773,0.54420395421436,0.07950317245386655,-0.10860534366216115,12,0,0,6.1,1.82,1.63,0.08,-0.0
Papillary Renal Cell Carcinoma,123,50,0.4065040650406504,72,0.019725443156070905,0.05712050078247261,0.5853658536585366,4,9,1.8096205962059624,9,2.4065040650406506,0.09809057248081637,0.19231647187728268,0.12987746700261477,-0.10706257843716474,9,0,0,8.3,4.7,3.57,0.17,0.0
Malignant neoplasm of ovary,132,25,0.1893939393939394,108,0.052509831135785334,0.07857390100380754,0.8181818181818182,5,7,2.100729517396184,7,6.878787878787879,0.22953619171014378,0.01306788410409674,0.2955550598680315,-0.15957528406136007,6,0,0,16.12,8.52,11.24,0.2,-0.0
Steatohepatitis,76,38,0.5,37,0.018947368421052633,0.07807807807807808,0.4868421052631579,4,6,1.5789473684210527,6,1.4210526315789473,0.1035296574770259,0.5334362139917695,0.08772514619882954,-0.17357105401153639,7,0,0,4.08,0.77,0.97,-0.0,-0.0
Disproportionate short stature,76,52,0.6842105263157895,13,0.010526315789473684,0.21794871794871795,0.17105263157894737,4,5,0.6329284750337382,5,0.7894736842105263,0.09210526315789473,0.7,0.019842105263157883,0.26958831341301465,9,0,0,3.6,1.26,0.59,-0.0,-0.0
Stomach Neoplasms,291,44,0.15120274914089346,247,0.025998341035667734,0.036075178565550835,0.8487972508591065,4,6,2.408906882591093,6,7.5395189003436425,0.18871522634356097,0.01980457184548227,0.28086068649519486,-0.093143517383279,12,0,0,20.3,9.26,14.63,0.27,-0.0
Pneumonitis,54,29,0.5370370370370371,11,0.02445842068483578,0.2,0.2037037037037037,4,6,0.9559483726150391,6,1.2962962962962963,0.18641975308641978,0.6453061224489796,0.044933612858141146,0.15924060441689217,6,0,0,3.86,1.22,0.92,-0.0,-0.0
"Heart Failure, Right-Sided",107,43,0.40186915887850466,50,0.015870216892964206,0.061224489795918366,0.4672897196261682,4,10,1.8433644859813085,10,1.6822429906542056,0.04554962171784601,0.5611728395061728,0.07814738309360189,0.1358804526340481,15,0,0,4.83,1.34,1.19,0.08,-0.0
"Alcoholic Intoxication, Chronic",255,117,0.4588235294117647,129,0.007009417940404508,0.026283914728682172,0.5058823529411764,6,9,2.0409788721690227,9,1.780392156862745,0.06745616268836083,0.4935667294145045,0.07561382033127745,-0.007178158680411623,15,0,0,7.82,2.25,2.56,0.11,0.0
"Osteoporosis, Senile",61,32,0.5245901639344263,26,0.021311475409836064,0.1076923076923077,0.4262295081967213,5,8,1.4993694829760404,8,1.278688524590164,0.04309133489461357,0.5213675213675213,0.06951340098881084,0.2826555539589022,8,0,0,4.44,2.16,1.03,-0.0,-0.0
Parkinson Disease,80,36,0.45,45,0.028481012658227847,0.09090909090909091,0.5625,4,8,1.853333333333333,8,2.25,0.1349549062049062,0.16777777777777775,0.12069544906570331,0.06935346767338393,6,0,0,7.1,2.64,2.88,-0.0,0.0
"Hepatoma, Novikoff",85,45,0.5294117647058824,40,0.02997198879551821,0.1358974358974359,0.47058823529411764,4,4,1.0735294117647056,4,2.5176470588235293,0.1337272995322531,0.036160363350510955,0.10905695611578023,-0.17350126187750856,7,0,0,8.28,4.41,3.88,-0.0,0.0
Malignant neoplasm of prostate,605,62,0.1024793388429752,543,0.01890974768759236,0.023472168423341693,0.8975206611570248,5,8,2.539448731412569,8,11.421487603305785,0.18981054275643125,0.0028894134007425454,0.3117934223105925,-0.16468696039679112,15,0,0,34.32,19.43,27.91,0.19,-0.0
Pneumonia,54,29,0.5370370370370371,11,0.02445842068483578,0.2,0.2037037037037037,4,6,0.9559483726150391,6,1.2962962962962963,0.18641975308641978,0.6453061224489796,0.044933612858141146,0.15924060441689217,6,0,0,3.86,1.22,0.92,-0.0,-0.0
Carcinomatosis,160,24,0.15,135,0.049213836477987424,0.06898839137645107,0.84375,4,6,2.173703703703704,6,7.825,0.2577481032132777,0.012699170145658266,0.31181603773581545,-0.2446030444878605,9,0,0,18.61,10.41,13.54,0.35,0.0
"Dermatitis, Allergic Contact",64,58,0.90625,3,0.002976190476190476,0.6666666666666666,0.046875,4,2,0.10416666666666666,2,0.1875,0.0,0.7777777777777777,0.003224206349206349,-0.2000000000000022,5,0,0,1.41,0.41,0.1,0.0,0.0
Atrial Fibrillation,147,64,0.43537414965986393,77,0.01062342745317305,0.036226930963773066,0.5238095238095238,5,8,1.8673027652619487,8,1.5510204081632653,0.050065052105868424,0.5152739304401354,0.09160287728920603,-0.22164098718704053,12,0,0,5.58,1.36,1.38,0.15,-0.0
Craniofacial Abnormalities,152,50,0.32894736842105265,99,0.017253398396653886,0.039991754277468566,0.6513157894736842,4,7,2.257708665603402,7,2.6052631578947367,0.11474899455549609,0.4499668401183554,0.14279780577271078,0.044219715219309584,13,0,0,8.55,3.2,3.64,0.21,-0.0
Skin Neoplasms,56,17,0.30357142857142855,40,0.04350649350649351,0.0858974358974359,0.7142857142857143,4,7,2.1508928571428574,7,2.392857142857143,0.09289965986394558,0.34785030073513024,0.20023964131107072,-0.0562014606203774,6,0,0,5.91,2.88,2.15,-0.0,0.0
Malignant mesothelioma,106,42,0.39622641509433965,63,0.02371967654986523,0.06656426011264721,0.5943396226415094,5,6,1.7283617849655586,6,2.490566037735849,0.16612889702693304,0.215564738292011,0.14096136567834577,-0.26463874784553004,9,0,0,7.81,3.89,3.27,0.3,0.0
Tonic - clonic seizures,103,64,0.6213592233009708,29,0.007805063773082048,0.07389162561576355,0.2815533980582524,5,12,1.568909719897333,12,0.7961165048543689,0.022653721682847898,0.665377751338489,0.024283155451059454,0.011794871794872526,13,0,0,2.64,0.29,0.45,0.04,0.0
"Adenocarcinoma, Basal Cell",114,27,0.23684210526315788,88,0.04812917248874398,0.08098223615464994,0.7719298245614035,4,6,1.9511562998405103,6,5.43859649122807,0.20836076010499255,0.012710718002081144,0.26474149976712535,-0.184521477909058,6,0,0,13.73,8.06,9.0,0.33,-0.0
"Seizures, Auditory",100,64,0.64,28,0.007676767676767677,0.07671957671957672,0.28,5,12,1.526190476190476,12,0.76,0.023333333333333334,0.6623961218836564,0.023807096943460535,-0.05931198102016529,12,0,0,2.6,0.25,0.43,0.04,-0.0
Alzheimer's Disease,91,30,0.32967032967032966,60,0.029304029304029304,0.06666666666666667,0.6593406593406593,5,7,1.842124542124542,7,2.6373626373626373,0.13204132863473522,0.3004861111111111,0.17788592360020736,-0.16875456435031735,7,0,0,7.23,3.38,2.88,-0.0,-0.0
"Epilepsy, Cryptogenic",79,43,0.5443037974683544,27,0.01525478740668614,0.10256410256410256,0.34177215189873417,4,7,1.3008907641819034,7,1.1898734177215189,0.06642555756479807,0.6478044363965595,0.04746603607363098,0.04851657940663201,11,0,0,3.53,0.48,0.75,-0.0,0.0
Peripheral Nervous System Diseases,53,38,0.7169811320754716,5,0.01088534107402032,0.4,0.09433962264150944,4,4,0.41194968553459116,4,0.5660377358490566,0.0,0.8022222222222221,0.014453313981615873,-0.33663366336633704,8,0,0,1.73,0.0,0.29,-0.0,0.0
Allodynia,83,56,0.6746987951807228,19,0.011166617690273288,0.16374269005847952,0.2289156626506024,4,6,0.7340942718241388,6,0.9156626506024096,0.07670682730923695,0.5702908587257617,0.02713292193162896,0.268817204301075,8,0,0,4.28,1.94,0.8,-0.0,-0.0
Insulin Sensitivity,58,21,0.3620689655172414,36,0.04053236539624924,0.10317460317460317,0.6206896551724138,4,6,1.6877394636015326,6,2.310344827586207,0.11457991242474003,0.11238583203386047,0.16723129663238478,-0.15109787432842814,8,0,0,6.27,3.12,2.41,-0.0,0.0
Chromophobe Renal Cell Carcinoma,123,50,0.4065040650406504,72,0.019725443156070905,0.05712050078247261,0.5853658536585366,4,9,1.8096205962059624,9,2.4065040650406506,0.09809057248081637,0.19231647187728268,0.12987746700261477,-0.10706257843716474,9,0,0,8.3,4.7,3.57,0.17,0.0
Anaplastic carcinoma,160,24,0.15,135,0.049213836477987424,0.06898839137645107,0.84375,4,6,2.173703703703704,6,7.825,0.2577481032132777,0.012699170145658266,0.31181603773581545,-0.2446030444878605,9,0,0,18.61,10.41,13.54,0.35,0.0
Spontaneous abortion,106,68,0.6415094339622641,22,0.007367475292003594,0.09956709956709957,0.20754716981132076,5,6,0.9338669716028206,6,0.7735849056603774,0.02830188679245283,0.6508030933967875,0.022249176400119832,-0.14991928974979854,9,0,0,3.0,0.61,0.46,0.17,0.0
Manic Disorder,70,46,0.6571428571428571,18,0.009937888198757764,0.1111111111111111,0.2571428571428571,4,8,0.9857142857142855,8,0.6857142857142857,0.0,0.6553819444444444,0.02705708370304643,-0.09159823120656976,9,0,0,2.68,0.76,0.38,-0.0,-0.0
Cocaine Abuse,110,44,0.4,62,0.01884904086738949,0.05711263881544157,0.5636363636363636,4,7,1.918377321603128,7,2.0545454545454547,0.11592548865276137,0.5084971415146057,0.11248937606735829,0.049643058082524213,10,0,0,6.21,2.06,1.99,0.18,0.0
Acute Cerebrovascular Accidents,54,36,0.6666666666666666,16,0.01607267645003494,0.16666666666666666,0.2962962962962963,4,7,0.8888888888888888,7,0.8518518518518519,0.046296296296296294,0.3809073724007562,0.03964759908156133,0.2906287069988136,6,0,0,3.72,1.9,0.68,-0.0,0.0
Brain Ischemia,60,17,0.2833333333333333,39,0.05141242937853107,0.11605937921727395,0.65,4,8,2.194444444444444,8,3.033333333333333,0.21795454545454546,0.3937930201666465,0.1709396018294327,0.2990516204655131,8,0,0,8.0,5.1,3.95,-0.0,0.0
"Hyperalgesia, Primary",83,56,0.6746987951807228,19,0.011166617690273288,0.16374269005847952,0.2289156626506024,4,6,0.7340942718241388,6,0.9156626506024096,0.07670682730923695,0.5702908587257617,0.02713292193162896,0.268817204301075,8,0,0,4.28,1.94,0.8,-0.0,-0.0
Nonsyndromic Deafness,73,58,0.7945205479452054,9,0.005707762557077625,0.2222222222222222,0.1232876712328767,5,4,0.3710806697108067,4,0.410958904109589,0.0,0.6511111111111111,0.011320395738203962,-0.31868131868131905,7,0,0,2.52,0.68,0.25,-0.0,0.0
Vertiginous seizure,100,64,0.64,28,0.007676767676767677,0.07671957671957672,0.28,5,12,1.526190476190476,12,0.76,0.023333333333333334,0.6623961218836564,0.023807096943460535,-0.05931198102016529,12,0,0,2.6,0.25,0.43,0.04,-0.0
Non-Convulsive Status Epilepticus,67,35,0.5223880597014925,23,0.019448213478064226,0.11462450592885376,0.34328358208955223,4,9,1.54315379623621,9,1.2835820895522387,0.14875621890547264,0.6849648458626285,0.0529635372918955,-0.04805013927576408,8,0,0,3.3,0.1,0.82,-0.0,-0.0
Amphetamine Addiction,71,54,0.7605633802816901,13,0.007243460764587525,0.16666666666666666,0.18309859154929578,5,5,0.5991332611050921,5,0.5070422535211268,0.0,0.5586419753086419,0.01731723675385647,-3.6334571715005175e-16,5,0,0,2.55,0.64,0.3,-0.0,0.0
"Carcinoma, Cribriform",114,27,0.23684210526315788,88,0.04812917248874398,0.08098223615464994,0.7719298245614035,4,6,1.9511562998405103,6,5.43859649122807,0.20836076010499255,0.012710718002081144,0.26474149976712535,-0.184521477909058,6,0,0,13.73,8.06,9.0,0.33,0.0
Mouth Neoplasms,53,21,0.39622641509433965,32,0.057329462989840346,0.15725806451612903,0.6037735849056604,4,5,1.3679245283018868,5,2.981132075471698,0.16057883416373983,0.29161993270309244,0.18301886792452723,-0.04419173026086165,6,0,0,6.69,3.14,2.88,-0.0,0.0
