,number_of_disease_genes,number_of_connected_components,percentage_of_connected_components,LCC_size,density,density_of_LCC,percentage_of_disease_genes_in_LCC,longest_shortest_path_in_interactome,longest_shortest_path_in_LCC,average_path_length,diameter_of_LCC,average_degree,clustering_coefficient,modularity,global_efficency,assortativity,number_of_community,node_connectivity,edge_connectivity,spectral_radius,spectral_gap,natural_connectivity,algebraic_connectivity,num_spanning_trees
anemia aplastic,21,5,0.23809523809523808,9,0.26666666666666666,0.5555555555555556,0.42857142857142855,6,3,0.9947089947089945,3,5.333333333333333,0.7,0.4591836734693878,0.29999999999999993,0.818154981549817,2,0,0,8.0,2.68,5.03,0.0,0.0
blood coagulation disorders,40,9,0.225,25,0.08846153846153847,0.16666666666666666,0.625,6,5,1.6624285714285716,5,3.45,0.4740277777777778,0.40663726107960513,0.2163034188034184,-0.15758795159333647,5,0,0,5.42,0.12,2.58,-0.0,0.0
charcot-marie-tooth disease,27,20,0.7407407407407407,5,0.019943019943019943,0.4,0.18518518518518517,6,4,0.4074074074074074,4,0.5185185185185185,0.0,0.6224489795918366,0.02682811016144349,0.416666666666667,5,0,0,1.73,0.73,0.26,-0.0,0.0
myeloproliferative disorders,19,14,0.7368421052631579,6,0.04093567251461988,0.4666666666666667,0.3157894736842105,6,3,0.4385964912280701,3,0.7368421052631579,0.12280701754385966,1.1102230246251565e-16,0.06237816764132553,-0.4583333333333324,2,0,0,2.75,1.98,0.56,-0.0,-0.0
metabolic syndrome x,14,12,0.8571428571428571,3,0.02197802197802198,0.6666666666666666,0.21428571428571427,6,2,0.19047619047619047,2,0.2857142857142857,0.0,0.0,0.027472527472527472,-1.0,1,0,0,1.41,1.41,0.16,0.0,0.0
spondylarthropathies,18,14,0.7777777777777778,4,0.032679738562091505,0.6666666666666666,0.2222222222222222,6,2,0.2777777777777778,2,0.5555555555555556,0.12962962962962962,0.32000000000000006,0.0392156862745098,-1.2027416100105851e-15,2,0,0,2.17,1.17,0.36,0.0,0.0
anemia hemolytic,29,13,0.4482758620689655,7,0.054187192118226604,0.47619047619047616,0.2413793103448276,6,3,0.8160919540229884,3,1.5172413793103448,0.267816091954023,0.6900826446280991,0.07881773399014778,-0.19599427753934245,5,0,0,3.12,0.6,0.89,-0.0,-0.0
cardiomyopathies,49,25,0.5102040816326531,12,0.02806122448979592,0.21212121212121213,0.24489795918367346,6,7,1.1496598639455782,7,1.346938775510204,0.19727891156462585,0.6937557392102847,0.04823250728862973,0.3961998592540469,7,0,0,3.64,0.96,0.9,-0.0,0.0
coronary artery disease,31,29,0.9354838709677419,2,0.004301075268817204,1.0,0.06451612903225806,6,1,0.06451612903225806,1,0.12903225806451613,0.0,0.5,0.004301075268817204,,2,0,0,1.0,0.0,0.07,0.0,0.0
macular degeneration,44,36,0.8181818181818182,8,0.009513742071881607,0.2857142857142857,0.18181818181818182,6,3,0.3181818181818182,3,0.4090909090909091,0.031818181818181815,0.19753086419753085,0.01937984496124031,-0.5517241379310345,3,0,0,2.74,1.74,0.31,-0.0,0.0
cardiomyopathy hypertrophic,22,14,0.6363636363636364,4,0.03896103896103896,0.6666666666666666,0.18181818181818182,6,3,0.5,2,0.8181818181818182,0.10606060606060606,0.611111111111111,0.049062049062049064,0.12195121951219555,4,0,0,2.17,0.55,0.45,0.0,0.0
