,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.152 +/- 0.06881860213634103,0.10400000000000001 +/- 0.04270831300812524,0.074 +/- 0.02576819745345025,0.053000000000000005 +/- 0.01860107523773827
Lymphatic Metastasis,0.0 +/- 0.0,0.004 +/- 0.008,0.002 +/- 0.004,0.003 +/- 0.004
"Condition, Preneoplastic",0.016 +/- 0.019595917942265423,0.02 +/- 0.025298221281347035,0.012 +/- 0.0116619037896906,0.013000000000000001 +/- 0.004
Alzheimer's Disease,0.23199999999999998 +/- 0.068818602136341,0.13199999999999998 +/- 0.03249615361854384,0.072 +/- 0.019390719429665318,0.038 +/- 0.008717797887081347
Ovarian Mucinous Adenocarcinoma,0.0 +/- 0.0,0.004 +/- 0.008,0.002 +/- 0.004,0.005 +/- 0.00447213595499958
Female infertility,0.04 +/- 0.03577708763999664,0.039999999999999994 +/- 0.03577708763999663,0.022 +/- 0.016,0.015000000000000003 +/- 0.010488088481701515
Single Seizure,0.16 +/- 0.08763560920082658,0.096 +/- 0.03666060555964673,0.064 +/- 0.014966629547095765,0.041999999999999996 +/- 0.012083045973594574
"Hearing Loss, Extreme",0.024 +/- 0.019595917942265423,0.028000000000000004 +/- 0.020396078054371138,0.014000000000000002 +/- 0.010198039027185569,0.008 +/- 0.004
Stomach Neoplasms,0.168 +/- 0.07756287771866127,0.10800000000000001 +/- 0.04118252056394801,0.068 +/- 0.024819347291981715,0.043 +/- 0.018867962264113206
Pneumonitis,0.072 +/- 0.0530659966456864,0.08800000000000001 +/- 0.0466476151587624,0.066 +/- 0.01854723699099141,0.037 +/- 0.008717797887081347
Malignant neoplasm of prostate,0.27999999999999997 +/- 0.09465727652959385,0.18 +/- 0.0551361950083609,0.126 +/- 0.039293765408777,0.075 +/- 0.0130384048104053
Neuroblastoma,0.064 +/- 0.054258639865002144,0.032 +/- 0.027129319932501072,0.016 +/- 0.013564659966250536,0.011 +/- 0.008602325267042627
