,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.045 +/- 0.025,0.056 +/- 0.024,0.063 +/- 0.026,0.062 +/- 0.026
Lymphatic Metastasis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004
"Condition, Preneoplastic",0.019 +/- 0.037,0.03 +/- 0.037,0.027 +/- 0.017,0.02 +/- 0.009
Alzheimer's Disease,0.244 +/- 0.083,0.201 +/- 0.064,0.119 +/- 0.034,0.066 +/- 0.021
Ovarian Mucinous Adenocarcinoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.008 +/- 0.007
Female infertility,0.065 +/- 0.058,0.072 +/- 0.064,0.042 +/- 0.032,0.027 +/- 0.022
Single Seizure,0.178 +/- 0.097,0.137 +/- 0.052,0.107 +/- 0.025,0.078 +/- 0.023
Stomach Neoplasms,0.106 +/- 0.039,0.1 +/- 0.038,0.086 +/- 0.031,0.067 +/- 0.029
Pneumonitis,0.1 +/- 0.074,0.131 +/- 0.075,0.119 +/- 0.033,0.072 +/- 0.018
Malignant neoplasm of prostate,0.096 +/- 0.032,0.103 +/- 0.032,0.114 +/- 0.035,0.092 +/- 0.018
Neuroblastoma,0.094 +/- 0.08,0.054 +/- 0.046,0.029 +/- 0.025,0.021 +/- 0.016
