,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.14400000000000002 +/- 0.0783836717690617,0.10400000000000001 +/- 0.04454211490264017,0.074 +/- 0.03072458299147443,0.052000000000000005 +/- 0.021587033144922906
Lymphatic Metastasis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.001 +/- 0.002
"Condition, Preneoplastic",0.016 +/- 0.032,0.02 +/- 0.025298221281347035,0.016 +/- 0.010198039027185569,0.011000000000000001 +/- 0.004898979485566356
Alzheimer's Disease,0.20800000000000002 +/- 0.06881860213634101,0.136 +/- 0.04270831300812524,0.06999999999999999 +/- 0.02,0.036 +/- 0.011575836902790225
Ovarian Mucinous Adenocarcinoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.0037416573867739412
Female infertility,0.04 +/- 0.03577708763999664,0.039999999999999994 +/- 0.03577708763999663,0.022 +/- 0.017204650534085254,0.014000000000000002 +/- 0.011575836902790225
Single Seizure,0.16 +/- 0.08763560920082658,0.096 +/- 0.03666060555964673,0.064 +/- 0.014966629547095765,0.043 +/- 0.012489995996796798
"Hearing Loss, Extreme",0.024 +/- 0.019595917942265423,0.028000000000000004 +/- 0.020396078054371138,0.014000000000000002 +/- 0.010198039027185569,0.008 +/- 0.004
Stomach Neoplasms,0.17600000000000002 +/- 0.06499230723708768,0.10800000000000001 +/- 0.04118252056394801,0.068 +/- 0.024819347291981715,0.043 +/- 0.018867962264113206
Pneumonitis,0.072 +/- 0.0530659966456864,0.08 +/- 0.045607017003965515,0.066 +/- 0.01854723699099141,0.038 +/- 0.009273618495495704
Malignant neoplasm of prostate,0.27999999999999997 +/- 0.09465727652959385,0.176 +/- 0.05571355310873649,0.126 +/- 0.039293765408777,0.074 +/- 0.014282856857085701
Neuroblastoma,0.064 +/- 0.054258639865002144,0.032 +/- 0.027129319932501072,0.016 +/- 0.013564659966250536,0.011 +/- 0.008602325267042627
