,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.027 +/- 0.015,0.039 +/- 0.017,0.055 +/- 0.023,0.077 +/- 0.032
Lymphatic Metastasis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.04 +/- 0.08
"Condition, Preneoplastic",0.022 +/- 0.044,0.057 +/- 0.071,0.092 +/- 0.057,0.126 +/- 0.054
Alzheimer's Disease,0.294 +/- 0.104,0.384 +/- 0.129,0.395 +/- 0.121,0.407 +/- 0.141
Ovarian Mucinous Adenocarcinoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.129 +/- 0.124
Female infertility,0.173 +/- 0.15,0.347 +/- 0.291,0.387 +/- 0.282,0.487 +/- 0.377
Single Seizure,0.2 +/- 0.11,0.24 +/- 0.092,0.32 +/- 0.075,0.43 +/- 0.125
Stomach Neoplasms,0.076 +/- 0.028,0.093 +/- 0.036,0.118 +/- 0.043,0.149 +/- 0.065
Pneumonitis,0.164 +/- 0.121,0.364 +/- 0.207,0.6 +/- 0.169,0.691 +/- 0.169
Malignant neoplasm of prostate,0.058 +/- 0.019,0.073 +/- 0.023,0.104 +/- 0.032,0.123 +/- 0.023
Neuroblastoma,0.178 +/- 0.151,0.178 +/- 0.151,0.178 +/- 0.151,0.242 +/- 0.193
