,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.152 +/- 0.069,0.104 +/- 0.043,0.074 +/- 0.026,0.053 +/- 0.019
Lymphatic Metastasis,0.0 +/- 0.0,0.004 +/- 0.008,0.002 +/- 0.004,0.003 +/- 0.004
"Condition, Preneoplastic",0.016 +/- 0.02,0.02 +/- 0.025,0.012 +/- 0.012,0.013 +/- 0.004
Alzheimer's Disease,0.232 +/- 0.069,0.132 +/- 0.032,0.072 +/- 0.019,0.038 +/- 0.009
Ovarian Mucinous Adenocarcinoma,0.0 +/- 0.0,0.004 +/- 0.008,0.002 +/- 0.004,0.005 +/- 0.004
Female infertility,0.04 +/- 0.036,0.04 +/- 0.036,0.022 +/- 0.016,0.015 +/- 0.01
Single Seizure,0.16 +/- 0.088,0.096 +/- 0.037,0.064 +/- 0.015,0.042 +/- 0.012
Stomach Neoplasms,0.168 +/- 0.078,0.108 +/- 0.041,0.068 +/- 0.025,0.043 +/- 0.019
Pneumonitis,0.072 +/- 0.053,0.088 +/- 0.047,0.066 +/- 0.019,0.037 +/- 0.009
Malignant neoplasm of prostate,0.28 +/- 0.095,0.18 +/- 0.055,0.126 +/- 0.039,0.075 +/- 0.013
Neuroblastoma,0.064 +/- 0.054,0.032 +/- 0.027,0.016 +/- 0.014,0.011 +/- 0.009
