,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.167 +/- 0.075,0.129 +/- 0.053,0.096 +/- 0.039,0.093 +/- 0.036
Lymphatic Metastasis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.01 +/- 0.019
"Condition, Preneoplastic",0.024 +/- 0.049,0.042 +/- 0.059,0.057 +/- 0.051,0.07 +/- 0.052
Alzheimer's Disease,0.402 +/- 0.111,0.448 +/- 0.123,0.453 +/- 0.118,0.457 +/- 0.125
Ovarian Mucinous Adenocarcinoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.032 +/- 0.031
Female infertility,0.176 +/- 0.181,0.236 +/- 0.232,0.246 +/- 0.225,0.273 +/- 0.254
Single Seizure,0.175 +/- 0.118,0.196 +/- 0.108,0.232 +/- 0.1,0.276 +/- 0.11
Stomach Neoplasms,0.213 +/- 0.098,0.15 +/- 0.069,0.152 +/- 0.067,0.169 +/- 0.079
Pneumonitis,0.103 +/- 0.072,0.192 +/- 0.106,0.282 +/- 0.087,0.31 +/- 0.084
Malignant neoplasm of prostate,0.36 +/- 0.124,0.253 +/- 0.083,0.186 +/- 0.057,0.175 +/- 0.043
Neuroblastoma,0.188 +/- 0.163,0.188 +/- 0.163,0.188 +/- 0.163,0.208 +/- 0.165
