,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.15239468882716098 +/- 0.08153254416334764,0.11668121428821857 +/- 0.05689512482568473,0.08881744469376529 +/- 0.03799097564401852,0.08884917162480648 +/- 0.03607749121482183
Lymphatic Metastasis,0.0 +/- 0.0,0.012579385769869634 +/- 0.025158771539739267,0.012579385769869634 +/- 0.025158771539739267,0.031010369712978235 +/- 0.04261072076474798
"Condition, Preneoplastic",0.021168990478429715 +/- 0.026005986286051348,0.038420134876953276 +/- 0.04750427818369724,0.04339506832192328 +/- 0.04442275395517923,0.07408372233376648 +/- 0.037974055630579324
Alzheimer's Disease,0.40033240697959604 +/- 0.1397156773407281,0.4229313308569661 +/- 0.13811159059057715,0.438333385601419 +/- 0.14029285631203892,0.44707801866433394 +/- 0.1347235738865171
Ovarian Mucinous Adenocarcinoma,0.0 +/- 0.0,0.011203687042066713 +/- 0.02240737408413343,0.011203687042066713 +/- 0.02240737408413343,0.04340067029620218 +/- 0.039503998017362194
Female infertility,0.17367141859791774 +/- 0.17752727731608495,0.23218036472962994 +/- 0.22584953188464751,0.24257837144921704 +/- 0.21589826132289022,0.2779138819138143 +/- 0.23692766534996873
Single Seizure,0.1739715810822679 +/- 0.1165431686607121,0.1946241349267904 +/- 0.1063776283382637,0.23122515314171768 +/- 0.09801257102273718,0.27095996131246686 +/- 0.1093673231257794
"Hearing Loss, Extreme",0.17982162280603714 +/- 0.1741827885222316,0.24314773792041713 +/- 0.14924067026315985,0.24314773792041713 +/- 0.14924067026315985,0.25480010900093497 +/- 0.13095569223411085
Stomach Neoplasms,0.20608371828412625 +/- 0.10721424789214094,0.14880112192741235 +/- 0.0692552297648423,0.15057266810921577 +/- 0.06731594047547106,0.16776113598622766 +/- 0.07967829324514915
Pneumonitis,0.10422631202828722 +/- 0.07311489540916188,0.20876629410207537 +/- 0.11105259940672552,0.2846096969013707 +/- 0.088662428375682,0.3079796731057308 +/- 0.085635298576017
Malignant neoplasm of prostate,0.3581520442726912 +/- 0.12450239227234891,0.25535264511301536 +/- 0.08355226263999076,0.18511145741599272 +/- 0.05685065819211493,0.17543512979198667 +/- 0.04280413529482296
Neuroblastoma,0.18686851373911986 +/- 0.1688718314144845,0.18686851373911986 +/- 0.1688718314144845,0.18686851373911986 +/- 0.1688718314144845,0.2061784790925218 +/- 0.1687600526939987
