,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.152 +/- 0.082,0.117 +/- 0.057,0.089 +/- 0.038,0.089 +/- 0.036
Lymphatic Metastasis,0.0 +/- 0.0,0.013 +/- 0.025,0.013 +/- 0.025,0.031 +/- 0.043
"Condition, Preneoplastic",0.021 +/- 0.026,0.038 +/- 0.048,0.043 +/- 0.044,0.074 +/- 0.038
Alzheimer's Disease,0.4 +/- 0.14,0.423 +/- 0.138,0.438 +/- 0.14,0.447 +/- 0.135
Ovarian Mucinous Adenocarcinoma,0.0 +/- 0.0,0.011 +/- 0.022,0.011 +/- 0.022,0.043 +/- 0.04
Female infertility,0.174 +/- 0.178,0.232 +/- 0.226,0.243 +/- 0.216,0.278 +/- 0.237
Single Seizure,0.174 +/- 0.117,0.195 +/- 0.106,0.231 +/- 0.098,0.271 +/- 0.109
Stomach Neoplasms,0.206 +/- 0.107,0.149 +/- 0.069,0.151 +/- 0.067,0.168 +/- 0.08
Pneumonitis,0.104 +/- 0.073,0.209 +/- 0.111,0.285 +/- 0.089,0.308 +/- 0.086
Malignant neoplasm of prostate,0.358 +/- 0.125,0.255 +/- 0.084,0.185 +/- 0.057,0.175 +/- 0.043
Neuroblastoma,0.187 +/- 0.169,0.187 +/- 0.169,0.187 +/- 0.169,0.206 +/- 0.169
