,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.007,0.018,0.035,0.064
Lymphatic Metastasis,0.025,0.042,0.076,0.087
"Condition, Preneoplastic",0.118,0.068,0.037,0.029
Alzheimer's Disease,0.013,0.025,0.04,0.071
Ovarian Mucinous Adenocarcinoma,0.0,0.033,0.018,0.028
Female infertility,0.0,0.0,0.019,0.01
Single Seizure,0.0,0.0,0.0,0.0
Stomach Neoplasms,0.023,0.033,0.047,0.072
Pneumonitis,0.032,0.055,0.077,0.125
Malignant neoplasm of prostate,0.014,0.025,0.045,0.073
Neuroblastoma,0.015,0.029,0.053,0.084
