,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.004,0.009,0.018,0.034
Lymphatic Metastasis,0.013,0.024,0.048,0.067
"Condition, Preneoplastic",0.222,0.222,0.222,0.333
Alzheimer's Disease,0.007,0.012,0.021,0.038
Ovarian Mucinous Adenocarcinoma,0.0,0.091,0.091,0.273
Female infertility,0.0,0.0,0.125,0.125
Single Seizure,0.0,0.0,0.0,0.0
Stomach Neoplasms,0.012,0.018,0.029,0.051
Pneumonitis,0.017,0.03,0.045,0.083
Malignant neoplasm of prostate,0.007,0.013,0.023,0.038
Neuroblastoma,0.008,0.015,0.028,0.046
