,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.461,0.646,0.721,0.708
Lymphatic Metastasis,0.127,0.152,0.147,0.129
"Condition, Preneoplastic",0.0,0.0,0.0,0.057
Alzheimer's Disease,0.581,0.617,0.581,0.565
Ovarian Mucinous Adenocarcinoma,0.0,0.0,0.0,0.025
Female infertility,0.0,0.0,0.038,0.038
Single Seizure,0.0,0.0,0.0,0.0
Stomach Neoplasms,0.428,0.315,0.226,0.152
Pneumonitis,0.477,0.448,0.315,0.238
Malignant neoplasm of prostate,0.968,0.89,0.828,0.704
Neuroblastoma,0.739,0.699,0.683,0.574
