,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.499,0.628,0.67,0.659
Lymphatic Metastasis,0.199,0.182,0.182,0.137
"Condition, Preneoplastic",0.104,0.104,0.104,0.13
Alzheimer's Disease,0.729,0.713,0.63,0.576
Ovarian Mucinous Adenocarcinoma,0.0,0.032,0.032,0.081
Female infertility,0.0,0.0,0.04,0.04
Single Seizure,0.0,0.0,0.0,0.0
Stomach Neoplasms,0.334,0.253,0.195,0.161
Pneumonitis,0.447,0.403,0.319,0.284
Malignant neoplasm of prostate,0.947,0.88,0.811,0.695
Neuroblastoma,0.705,0.68,0.642,0.549
