,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.093 +/- 0.031,0.087 +/- 0.031,0.061 +/- 0.015,0.056 +/- 0.014
Lymphatic Metastasis,0.0 +/- 0.0,0.054 +/- 0.067,0.054 +/- 0.067,0.063 +/- 0.061
"Condition, Preneoplastic",0.0 +/- 0.0,0.0 +/- 0.0,0.009 +/- 0.011,0.032 +/- 0.021
Alzheimer's Disease,0.038 +/- 0.035,0.043 +/- 0.03,0.057 +/- 0.027,0.064 +/- 0.033
Ovarian Mucinous Adenocarcinoma,0.03 +/- 0.037,0.087 +/- 0.062,0.087 +/- 0.062,0.087 +/- 0.062
Female infertility,0.021 +/- 0.043,0.059 +/- 0.065,0.089 +/- 0.067,0.089 +/- 0.067
Single Seizure,0.046 +/- 0.059,0.046 +/- 0.059,0.05 +/- 0.056,0.05 +/- 0.056
Stomach Neoplasms,0.036 +/- 0.034,0.029 +/- 0.028,0.039 +/- 0.032,0.047 +/- 0.038
Pneumonitis,0.059 +/- 0.046,0.116 +/- 0.074,0.152 +/- 0.056,0.169 +/- 0.052
Malignant neoplasm of prostate,0.136 +/- 0.079,0.097 +/- 0.046,0.075 +/- 0.027,0.082 +/- 0.015
Neuroblastoma,0.01 +/- 0.02,0.029 +/- 0.039,0.043 +/- 0.053,0.062 +/- 0.055
