,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.098 +/- 0.033,0.083 +/- 0.027,0.061 +/- 0.015,0.056 +/- 0.013
Lymphatic Metastasis,0.0 +/- 0.0,0.041 +/- 0.055,0.053 +/- 0.065,0.062 +/- 0.06
"Condition, Preneoplastic",0.0 +/- 0.0,0.005 +/- 0.009,0.013 +/- 0.017,0.035 +/- 0.023
Alzheimer's Disease,0.038 +/- 0.035,0.038 +/- 0.035,0.043 +/- 0.031,0.062 +/- 0.04
Ovarian Mucinous Adenocarcinoma,0.028 +/- 0.035,0.072 +/- 0.041,0.072 +/- 0.041,0.081 +/- 0.044
Female infertility,0.036 +/- 0.072,0.048 +/- 0.07,0.078 +/- 0.059,0.096 +/- 0.079
Single Seizure,0.046 +/- 0.059,0.046 +/- 0.059,0.05 +/- 0.056,0.054 +/- 0.054
Stomach Neoplasms,0.032 +/- 0.028,0.033 +/- 0.032,0.038 +/- 0.03,0.046 +/- 0.036
Pneumonitis,0.05 +/- 0.051,0.098 +/- 0.074,0.126 +/- 0.049,0.161 +/- 0.045
Malignant neoplasm of prostate,0.129 +/- 0.071,0.101 +/- 0.048,0.076 +/- 0.027,0.082 +/- 0.014
Neuroblastoma,0.01 +/- 0.02,0.029 +/- 0.039,0.043 +/- 0.053,0.062 +/- 0.055
