,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.06 +/- 0.029,0.052 +/- 0.022,0.047 +/- 0.014,0.051 +/- 0.016
Lymphatic Metastasis,0.0 +/- 0.0,0.026 +/- 0.052,0.026 +/- 0.052,0.044 +/- 0.048
"Condition, Preneoplastic",0.008 +/- 0.015,0.013 +/- 0.017,0.021 +/- 0.019,0.044 +/- 0.027
Alzheimer's Disease,0.032 +/- 0.029,0.032 +/- 0.029,0.041 +/- 0.026,0.057 +/- 0.034
Ovarian Mucinous Adenocarcinoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.065 +/- 0.02
Female infertility,0.064 +/- 0.091,0.111 +/- 0.102,0.121 +/- 0.105,0.121 +/- 0.105
Single Seizure,0.017 +/- 0.02,0.017 +/- 0.02,0.017 +/- 0.02,0.028 +/- 0.028
Stomach Neoplasms,0.041 +/- 0.05,0.037 +/- 0.042,0.04 +/- 0.035,0.055 +/- 0.047
Pneumonitis,0.056 +/- 0.041,0.064 +/- 0.043,0.085 +/- 0.039,0.121 +/- 0.017
Malignant neoplasm of prostate,0.149 +/- 0.065,0.123 +/- 0.039,0.087 +/- 0.025,0.095 +/- 0.007
Neuroblastoma,0.012 +/- 0.024,0.03 +/- 0.042,0.044 +/- 0.054,0.057 +/- 0.059
