,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.13599999999999998 +/- 0.04079215610874228,0.088 +/- 0.020396078054371138,0.06 +/- 0.01264911064067352,0.04 +/- 0.010488088481701513
Lymphatic Metastasis,0.0 +/- 0.0,0.016 +/- 0.019595917942265426,0.008 +/- 0.009797958971132713,0.005 +/- 0.00447213595499958
"Condition, Preneoplastic",0.0 +/- 0.0,0.0 +/- 0.0,0.006 +/- 0.008,0.008 +/- 0.005099019513592784
Alzheimer's Disease,0.024 +/- 0.019595917942265423,0.012 +/- 0.009797958971132711,0.01 +/- 0.006324555320336759,0.01 +/- 0.006324555320336759
Ovarian Mucinous Adenocarcinoma,0.0 +/- 0.0,0.012 +/- 0.016,0.008 +/- 0.0074833147735478825,0.009 +/- 0.0058309518948453
Female infertility,0.016 +/- 0.032,0.012 +/- 0.016,0.014000000000000002 +/- 0.010198039027185569,0.008 +/- 0.005999999999999999
Single Seizure,0.016 +/- 0.019595917942265423,0.008 +/- 0.009797958971132711,0.006 +/- 0.004898979485566357,0.004 +/- 0.0037416573867739412
Stomach Neoplasms,0.024 +/- 0.032,0.032 +/- 0.03249615361854384,0.024 +/- 0.017435595774162694,0.016 +/- 0.012000000000000002
Pneumonitis,0.032 +/- 0.02993325909419153,0.039999999999999994 +/- 0.017888543819998316,0.03 +/- 0.006324555320336759,0.02 +/- 0.00316227766016838
Malignant neoplasm of prostate,0.08800000000000001 +/- 0.0530659966456864,0.068 +/- 0.03249615361854384,0.05600000000000001 +/- 0.01019803902718557,0.040999999999999995 +/- 0.0037416573867739395
Neuroblastoma,0.008 +/- 0.016,0.012 +/- 0.016,0.01 +/- 0.012649110640673518,0.008 +/- 0.006782329983125268
