,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.13599999999999998 +/- 0.04079215610874228,0.096 +/- 0.02939387691339814,0.06000000000000001 +/- 0.012649110640673518,0.038 +/- 0.00812403840463596
Lymphatic Metastasis,0.0 +/- 0.0,0.012 +/- 0.016,0.008 +/- 0.009797958971132713,0.005 +/- 0.00447213595499958
"Condition, Preneoplastic",0.0 +/- 0.0,0.004 +/- 0.008,0.006 +/- 0.008,0.009 +/- 0.0058309518948453
Alzheimer's Disease,0.024 +/- 0.019595917942265423,0.012 +/- 0.009797958971132711,0.008 +/- 0.004,0.009 +/- 0.0037416573867739412
Ovarian Mucinous Adenocarcinoma,0.016 +/- 0.019595917942265423,0.024 +/- 0.014966629547095765,0.012 +/- 0.0074833147735478825,0.007000000000000001 +/- 0.004
Female infertility,0.016 +/- 0.032,0.012 +/- 0.016,0.012 +/- 0.0074833147735478825,0.008 +/- 0.005999999999999999
Single Seizure,0.016 +/- 0.019595917942265423,0.008 +/- 0.009797958971132711,0.006 +/- 0.004898979485566357,0.004 +/- 0.0037416573867739412
Stomach Neoplasms,0.032 +/- 0.02993325909419153,0.032 +/- 0.03249615361854384,0.024 +/- 0.017435595774162694,0.016 +/- 0.012000000000000002
Pneumonitis,0.032 +/- 0.02993325909419153,0.039999999999999994 +/- 0.0282842712474619,0.028000000000000004 +/- 0.007483314773547883,0.02 +/- 0.00316227766016838
Malignant neoplasm of prostate,0.08800000000000001 +/- 0.0530659966456864,0.07200000000000001 +/- 0.029933259094191533,0.054000000000000006 +/- 0.013564659966250538,0.040999999999999995 +/- 0.0037416573867739395
Neuroblastoma,0.008 +/- 0.016,0.012 +/- 0.016,0.01 +/- 0.012649110640673518,0.008 +/- 0.006782329983125268
