,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.072 +/- 0.03,0.056 +/- 0.023,0.048 +/- 0.012,0.038 +/- 0.01
Lymphatic Metastasis,0.0 +/- 0.0,0.008 +/- 0.016,0.004 +/- 0.008,0.004 +/- 0.004
"Condition, Preneoplastic",0.008 +/- 0.016,0.008 +/- 0.01,0.008 +/- 0.007,0.01 +/- 0.005
Alzheimer's Disease,0.024 +/- 0.02,0.012 +/- 0.01,0.01 +/- 0.006,0.009 +/- 0.005
Ovarian Mucinous Adenocarcinoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.008 +/- 0.002
Female infertility,0.024 +/- 0.032,0.028 +/- 0.02,0.016 +/- 0.012,0.008 +/- 0.006
Single Seizure,0.016 +/- 0.02,0.008 +/- 0.01,0.004 +/- 0.005,0.005 +/- 0.004
Stomach Neoplasms,0.04 +/- 0.051,0.036 +/- 0.039,0.024 +/- 0.019,0.02 +/- 0.015
Pneumonitis,0.04 +/- 0.025,0.024 +/- 0.015,0.018 +/- 0.007,0.015 +/- 0.004
Malignant neoplasm of prostate,0.096 +/- 0.041,0.088 +/- 0.027,0.058 +/- 0.01,0.047 +/- 0.012
Neuroblastoma,0.008 +/- 0.016,0.012 +/- 0.016,0.01 +/- 0.013,0.007 +/- 0.007
