,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.025 +/- 0.008,0.036 +/- 0.011,0.044 +/- 0.009,0.056 +/- 0.012
Lymphatic Metastasis,0.0 +/- 0.0,0.12 +/- 0.16,0.16 +/- 0.196,0.2 +/- 0.179
"Condition, Preneoplastic",0.0 +/- 0.0,0.01 +/- 0.019,0.033 +/- 0.046,0.091 +/- 0.056
Alzheimer's Disease,0.034 +/- 0.028,0.034 +/- 0.028,0.044 +/- 0.022,0.101 +/- 0.046
Ovarian Mucinous Adenocarcinoma,0.073 +/- 0.09,0.197 +/- 0.115,0.197 +/- 0.115,0.23 +/- 0.125
Female infertility,0.08 +/- 0.16,0.113 +/- 0.157,0.213 +/- 0.141,0.287 +/- 0.226
Single Seizure,0.02 +/- 0.024,0.02 +/- 0.024,0.03 +/- 0.024,0.04 +/- 0.037
Stomach Neoplasms,0.014 +/- 0.013,0.028 +/- 0.028,0.041 +/- 0.03,0.055 +/- 0.041
Pneumonitis,0.073 +/- 0.068,0.184 +/- 0.127,0.26 +/- 0.07,0.371 +/- 0.059
Malignant neoplasm of prostate,0.018 +/- 0.011,0.03 +/- 0.012,0.045 +/- 0.011,0.068 +/- 0.006
Neuroblastoma,0.02 +/- 0.04,0.064 +/- 0.088,0.104 +/- 0.13,0.171 +/- 0.144
