,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.09875335539599162 +/- 0.03345700580777101,0.07789350866982041 +/- 0.02102323917512211,0.06019714633480307 +/- 0.01389904477219235,0.05732193031394661 +/- 0.013608629807084745
Lymphatic Metastasis,0.0 +/- 0.0,0.05399841001100717 +/- 0.0661689444428478,0.05399841001100717 +/- 0.0661689444428478,0.06299570569799826 +/- 0.06107745250421343
"Condition, Preneoplastic",0.0 +/- 0.0,0.0 +/- 0.0,0.012962300843577166 +/- 0.016882920997124327,0.03184322800932276 +/- 0.020551047519250742
Alzheimer's Disease,0.04081255595226986 +/- 0.03642128346579295,0.04081255595226986 +/- 0.03642128346579295,0.05032249376278951 +/- 0.0331038534460805,0.06959033852287295 +/- 0.041131382887167015
Ovarian Mucinous Adenocarcinoma,0.0 +/- 0.0,0.03376306605029783 +/- 0.04338698552194486,0.042852666591906036 +/- 0.03998910223787461,0.08487136721686636 +/- 0.04847471474766061
Female infertility,0.03660954276404747 +/- 0.07321908552809495,0.04906749242677015 +/- 0.07120166320323296,0.09013355079553567 +/- 0.07917696293589901,0.09909306088069683 +/- 0.08240964281397896
Single Seizure,0.045778197023202336 +/- 0.05872008681334553,0.045778197023202336 +/- 0.05872008681334553,0.050444838720664686 +/- 0.05574852364117428,0.05467584395453438 +/- 0.05431468135315337
Stomach Neoplasms,0.02599981250777947 +/- 0.03274055408957855,0.03218869678695575 +/- 0.033675198463598774,0.03764918449195441 +/- 0.031495425250351754,0.04550875125097724 +/- 0.03744636736817638
Pneumonitis,0.049157486572843724 +/- 0.04979365487286002,0.09770888004019844 +/- 0.04963460565440521,0.13192828989653793 +/- 0.025625594610024643,0.16056187139590478 +/- 0.02459958950627243
Malignant neoplasm of prostate,0.1305028859393542 +/- 0.07303052284710745,0.09966827675716741 +/- 0.04931722408771292,0.07862043308964498 +/- 0.024695555436048358,0.08226935859509596 +/- 0.014258707600872328
Neuroblastoma,0.009870843870696479 +/- 0.019741687741392958,0.029127743999143134 +/- 0.03863784848957763,0.04308292545413572 +/- 0.053257862904928066,0.06204670015933696 +/- 0.05522310121311214
