,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.013369142982711038 +/- 0.005718985658556423,0.020777540685226387 +/- 0.008765207825566307,0.035551240181982996 +/- 0.008842729768420876,0.056307312425818226 +/- 0.01563338892787237
Lymphatic Metastasis,0.0 +/- 0.0,0.08 +/- 0.16,0.08 +/- 0.16,0.16 +/- 0.14966629547095767
"Condition, Preneoplastic",0.009523809523809523 +/- 0.019047619047619046,0.019047619047619046 +/- 0.023328473740792173,0.040336134453781515 +/- 0.03650495138968047,0.1017249004865104 +/- 0.05291070306745001
Alzheimer's Disease,0.034055727554179564 +/- 0.027898155606362378,0.034055727554179564 +/- 0.027898155606362378,0.054582043343653255 +/- 0.03348059245904583,0.09987616099071209 +/- 0.05689779204977437
Ovarian Mucinous Adenocarcinoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.2638095238095238 +/- 0.06878274318197253
Female infertility,0.11333333333333333 +/- 0.15719768163402129,0.2533333333333333 +/- 0.20286832072937253,0.2866666666666666 +/- 0.22568414506414342,0.2866666666666666 +/- 0.22568414506414342
Single Seizure,0.019523809523809523 +/- 0.023923536546819942,0.019523809523809523 +/- 0.023923536546819942,0.019523809523809523 +/- 0.023923536546819942,0.04904761904761905 +/- 0.04368512358544653
Stomach Neoplasms,0.017241379310344827 +/- 0.021808811449437096,0.030976037405026302 +/- 0.03345658309841287,0.0413208649912332 +/- 0.032022294038152294,0.06879018118059614 +/- 0.052430922457138776
Pneumonitis,0.09272727272727273 +/- 0.05761083461001767,0.11090909090909092 +/- 0.06764027359177555,0.16545454545454547 +/- 0.06615783781331,0.27999999999999997 +/- 0.09025217197084259
Malignant neoplasm of prostate,0.019835388158786074 +/- 0.008482275578776765,0.03635144289391681 +/- 0.011367317654083758,0.047881045928735946 +/- 0.008201537268954461,0.07744343584880098 +/- 0.019495004474353737
Neuroblastoma,0.02222222222222222 +/- 0.04444444444444444,0.06444444444444444 +/- 0.08788319970348972,0.10444444444444442 +/- 0.13026089679780306,0.1488888888888889 +/- 0.14326010187809954
