,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.042 +/- 0.013,0.048 +/- 0.011,0.051 +/- 0.011,0.048 +/- 0.012
Lymphatic Metastasis,0.0 +/- 0.0,0.029 +/- 0.036,0.015 +/- 0.019,0.01 +/- 0.009
"Condition, Preneoplastic",0.0 +/- 0.0,0.0 +/- 0.0,0.01 +/- 0.014,0.015 +/- 0.009
Alzheimer's Disease,0.028 +/- 0.023,0.018 +/- 0.014,0.017 +/- 0.011,0.018 +/- 0.012
Ovarian Mucinous Adenocarcinoma,0.0 +/- 0.0,0.021 +/- 0.028,0.015 +/- 0.014,0.017 +/- 0.011
Female infertility,0.027 +/- 0.053,0.022 +/- 0.029,0.027 +/- 0.019,0.016 +/- 0.012
Single Seizure,0.018 +/- 0.022,0.011 +/- 0.014,0.01 +/- 0.008,0.007 +/- 0.007
Stomach Neoplasms,0.014 +/- 0.019,0.03 +/- 0.03,0.03 +/- 0.022,0.025 +/- 0.019
Pneumonitis,0.044 +/- 0.042,0.066 +/- 0.029,0.054 +/- 0.012,0.038 +/- 0.006
Malignant neoplasm of prostate,0.03 +/- 0.018,0.04 +/- 0.019,0.051 +/- 0.009,0.051 +/- 0.005
Neuroblastoma,0.011 +/- 0.023,0.02 +/- 0.027,0.018 +/- 0.023,0.015 +/- 0.013
