,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.099 +/- 0.033,0.078 +/- 0.021,0.06 +/- 0.014,0.057 +/- 0.014
Lymphatic Metastasis,0.0 +/- 0.0,0.054 +/- 0.066,0.054 +/- 0.066,0.063 +/- 0.061
"Condition, Preneoplastic",0.0 +/- 0.0,0.0 +/- 0.0,0.013 +/- 0.017,0.032 +/- 0.021
Alzheimer's Disease,0.041 +/- 0.036,0.041 +/- 0.036,0.05 +/- 0.033,0.07 +/- 0.041
Ovarian Mucinous Adenocarcinoma,0.0 +/- 0.0,0.034 +/- 0.043,0.043 +/- 0.04,0.085 +/- 0.048
Female infertility,0.037 +/- 0.073,0.049 +/- 0.071,0.09 +/- 0.079,0.099 +/- 0.082
Single Seizure,0.046 +/- 0.059,0.046 +/- 0.059,0.05 +/- 0.056,0.055 +/- 0.054
Stomach Neoplasms,0.026 +/- 0.033,0.032 +/- 0.034,0.038 +/- 0.031,0.046 +/- 0.037
Pneumonitis,0.049 +/- 0.05,0.098 +/- 0.05,0.132 +/- 0.026,0.161 +/- 0.025
Malignant neoplasm of prostate,0.131 +/- 0.073,0.1 +/- 0.049,0.079 +/- 0.025,0.082 +/- 0.014
Neuroblastoma,0.01 +/- 0.02,0.029 +/- 0.039,0.043 +/- 0.053,0.062 +/- 0.055
