,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.09759964379062396 +/- 0.03260966291510851,0.08308554205320641 +/- 0.02709070704194391,0.060639108047523274 +/- 0.015175818684948803,0.05565633274242141 +/- 0.01329268242538664
Lymphatic Metastasis,0.0 +/- 0.0,0.04149242979182649 +/- 0.05515932536216738,0.05312166348044365 +/- 0.06513254416356802,0.062147042688537525 +/- 0.06007655012121785
"Condition, Preneoplastic",0.0 +/- 0.0,0.0047340057195308025 +/- 0.009468011439061605,0.012915380405286442 +/- 0.016730853489679204,0.03540225182490414 +/- 0.022782277322739207
Alzheimer's Disease,0.03811639267867919 +/- 0.0349069853213444,0.03811639267867919 +/- 0.0349069853213444,0.042906354922801294 +/- 0.030742810766079983,0.06181214702187541 +/- 0.03976972283994376
Ovarian Mucinous Adenocarcinoma,0.02818531303641424 +/- 0.0345935204930818,0.07226436780953213 +/- 0.04056293219239766,0.07226436780953213 +/- 0.04056293219239766,0.0808424060741992 +/- 0.04438474282274632
Female infertility,0.03582962551231483 +/- 0.07165925102462967,0.04816340013405314 +/- 0.06971160012071076,0.0780051539387058 +/- 0.0593228829255991,0.09625004338290566 +/- 0.07928608381133179
Single Seizure,0.045778197023202336 +/- 0.05872008681334553,0.045778197023202336 +/- 0.05872008681334553,0.050412998165227416 +/- 0.055764042555981615,0.05440348040641043 +/- 0.05436847252714124
Stomach Neoplasms,0.0317441811216535 +/- 0.028081201136619632,0.03253604517097336 +/- 0.032217544700168764,0.03785442589085121 +/- 0.030062729260987558,0.045756808656993365 +/- 0.035766739726438936
Pneumonitis,0.05014909380136391 +/- 0.051010760780607865,0.09849534961260831 +/- 0.07370340668488393,0.1264078417532836 +/- 0.04886065668613559,0.16120388161303764 +/- 0.04485795532012245
Malignant neoplasm of prostate,0.12855221074203327 +/- 0.07097973615845186,0.10143727788547627 +/- 0.048191387763979084,0.07647686950777845 +/- 0.027226957885423703,0.08166852998800134 +/- 0.014088799847929788
Neuroblastoma,0.009870843870696479 +/- 0.019741687741392958,0.029127743999143134 +/- 0.03863784848957763,0.043135251329641244 +/- 0.053332629655319666,0.06207570263577866 +/- 0.05523248630686411
