,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.04 +/- 0.012,0.054 +/- 0.019,0.051 +/- 0.011,0.045 +/- 0.01
Lymphatic Metastasis,0.0 +/- 0.0,0.029 +/- 0.036,0.015 +/- 0.019,0.01 +/- 0.009
"Condition, Preneoplastic",0.0 +/- 0.0,0.0 +/- 0.0,0.007 +/- 0.008,0.015 +/- 0.009
Alzheimer's Disease,0.028 +/- 0.023,0.024 +/- 0.012,0.024 +/- 0.013,0.017 +/- 0.007
Ovarian Mucinous Adenocarcinoma,0.026 +/- 0.032,0.05 +/- 0.036,0.026 +/- 0.019,0.014 +/- 0.01
Female infertility,0.013 +/- 0.027,0.029 +/- 0.027,0.026 +/- 0.019,0.014 +/- 0.01
Single Seizure,0.018 +/- 0.022,0.011 +/- 0.014,0.01 +/- 0.008,0.005 +/- 0.004
Stomach Neoplasms,0.019 +/- 0.018,0.022 +/- 0.022,0.03 +/- 0.022,0.025 +/- 0.019
Pneumonitis,0.056 +/- 0.035,0.079 +/- 0.044,0.061 +/- 0.018,0.038 +/- 0.008
Malignant neoplasm of prostate,0.033 +/- 0.021,0.037 +/- 0.017,0.047 +/- 0.012,0.051 +/- 0.005
Neuroblastoma,0.011 +/- 0.023,0.02 +/- 0.027,0.018 +/- 0.023,0.015 +/- 0.013
