,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.072 +/- 0.02993325909419153,0.055999999999999994 +/- 0.0233238075793812,0.048 +/- 0.0116619037896906,0.038 +/- 0.010295630140987002
Lymphatic Metastasis,0.0 +/- 0.0,0.008 +/- 0.016,0.004 +/- 0.008,0.004 +/- 0.0037416573867739412
"Condition, Preneoplastic",0.008 +/- 0.016,0.008 +/- 0.009797958971132711,0.008 +/- 0.0074833147735478825,0.01 +/- 0.005477225575051661
Alzheimer's Disease,0.024 +/- 0.019595917942265423,0.012 +/- 0.009797958971132711,0.01 +/- 0.006324555320336759,0.009000000000000001 +/- 0.004898979485566356
Ovarian Mucinous Adenocarcinoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.008 +/- 0.002449489742783178
Female infertility,0.024 +/- 0.032,0.028000000000000004 +/- 0.020396078054371138,0.016 +/- 0.011999999999999999,0.008 +/- 0.005999999999999999
Single Seizure,0.016 +/- 0.019595917942265423,0.008 +/- 0.009797958971132711,0.004 +/- 0.004898979485566356,0.005 +/- 0.00447213595499958
Stomach Neoplasms,0.04 +/- 0.05059644256269407,0.036 +/- 0.03878143885933063,0.024 +/- 0.01854723699099141,0.019999999999999997 +/- 0.0151657508881031
Pneumonitis,0.04 +/- 0.025298221281347035,0.024 +/- 0.014966629547095765,0.018 +/- 0.0074833147735478825,0.015 +/- 0.00447213595499958
Malignant neoplasm of prostate,0.096 +/- 0.040792156108742275,0.088 +/- 0.027129319932501072,0.05800000000000001 +/- 0.009797958971132713,0.047 +/- 0.012083045973594574
Neuroblastoma,0.008 +/- 0.016,0.012 +/- 0.016,0.01 +/- 0.012649110640673518,0.007000000000000001 +/- 0.006782329983125268
