,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.136 +/- 0.041,0.096 +/- 0.029,0.06 +/- 0.013,0.038 +/- 0.008
Lymphatic Metastasis,0.0 +/- 0.0,0.012 +/- 0.016,0.008 +/- 0.01,0.005 +/- 0.004
"Condition, Preneoplastic",0.0 +/- 0.0,0.004 +/- 0.008,0.006 +/- 0.008,0.009 +/- 0.006
Alzheimer's Disease,0.024 +/- 0.02,0.012 +/- 0.01,0.008 +/- 0.004,0.009 +/- 0.004
Ovarian Mucinous Adenocarcinoma,0.016 +/- 0.02,0.024 +/- 0.015,0.012 +/- 0.007,0.007 +/- 0.004
Female infertility,0.016 +/- 0.032,0.012 +/- 0.016,0.012 +/- 0.007,0.008 +/- 0.006
Single Seizure,0.016 +/- 0.02,0.008 +/- 0.01,0.006 +/- 0.005,0.004 +/- 0.004
Stomach Neoplasms,0.032 +/- 0.03,0.032 +/- 0.032,0.024 +/- 0.017,0.016 +/- 0.012
Pneumonitis,0.032 +/- 0.03,0.04 +/- 0.028,0.028 +/- 0.007,0.02 +/- 0.003
Malignant neoplasm of prostate,0.088 +/- 0.053,0.072 +/- 0.03,0.054 +/- 0.014,0.041 +/- 0.004
Neuroblastoma,0.008 +/- 0.016,0.012 +/- 0.016,0.01 +/- 0.013,0.008 +/- 0.007
