,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.025166687629117855 +/- 0.007565992069842307,0.032564351110937625 +/- 0.0075842872474088585,0.044363045077944176 +/- 0.009239621959029502,0.05914747879539637 +/- 0.015324968871374725
Lymphatic Metastasis,0.0 +/- 0.0,0.16 +/- 0.19595917942265426,0.16 +/- 0.19595917942265426,0.2 +/- 0.1788854381999832
"Condition, Preneoplastic",0.0 +/- 0.0,0.0 +/- 0.0,0.03305322128851541 +/- 0.046142880183695244,0.08167477517322717 +/- 0.05046885594942815
Alzheimer's Disease,0.034055727554179564 +/- 0.027898155606362378,0.034055727554179564 +/- 0.027898155606362378,0.054582043343653255 +/- 0.03348059245904583,0.10863777089783282 +/- 0.06785572594668057
Ovarian Mucinous Adenocarcinoma,0.0 +/- 0.0,0.09714285714285714 +/- 0.12202375145178641,0.13047619047619047 +/- 0.11339334145628355,0.29714285714285715 +/- 0.1898226884785496
Female infertility,0.08 +/- 0.16,0.11333333333333333 +/- 0.15719768163402129,0.2533333333333333 +/- 0.20286832072937253,0.2866666666666666 +/- 0.22568414506414342
Single Seizure,0.019523809523809523 +/- 0.023923536546819942,0.019523809523809523 +/- 0.023923536546819942,0.029523809523809525 +/- 0.02412176217507417,0.03952380952380953 +/- 0.037301249576316454
Stomach Neoplasms,0.010344827586206896 +/- 0.013793103448275862,0.027527761542957337 +/- 0.028035743283011734,0.04126241963763881 +/- 0.03015542377092415,0.05505552308591467 +/- 0.0414865687983458
Pneumonitis,0.07272727272727272 +/- 0.06803013430498075,0.18363636363636363 +/- 0.07933608810644155,0.27999999999999997 +/- 0.06956773261712361,0.3709090909090909 +/- 0.05930729611018215
Malignant neoplasm of prostate,0.01819604389649099 +/- 0.010993559972520158,0.028127399178069817 +/- 0.013539900714447379,0.046214379262069276 +/- 0.00844471103399123,0.06763469267940206 +/- 0.005936656446094597
Neuroblastoma,0.02 +/- 0.04,0.06444444444444444 +/- 0.08788319970348972,0.10444444444444442 +/- 0.13026089679780306,0.17111111111111107 +/- 0.14429051627331488
