,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.023 +/- 0.01,0.03 +/- 0.013,0.041 +/- 0.01,0.045 +/- 0.012
Lymphatic Metastasis,0.0 +/- 0.0,0.015 +/- 0.029,0.008 +/- 0.015,0.008 +/- 0.007
"Condition, Preneoplastic",0.009 +/- 0.017,0.011 +/- 0.014,0.013 +/- 0.012,0.018 +/- 0.01
Alzheimer's Disease,0.028 +/- 0.023,0.018 +/- 0.014,0.017 +/- 0.011,0.017 +/- 0.009
Ovarian Mucinous Adenocarcinoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.016 +/- 0.005
Female infertility,0.04 +/- 0.053,0.05 +/- 0.037,0.03 +/- 0.023,0.016 +/- 0.012
Single Seizure,0.018 +/- 0.022,0.011 +/- 0.014,0.007 +/- 0.008,0.009 +/- 0.008
Stomach Neoplasms,0.024 +/- 0.03,0.033 +/- 0.036,0.03 +/- 0.023,0.031 +/- 0.024
Pneumonitis,0.056 +/- 0.035,0.039 +/- 0.025,0.032 +/- 0.013,0.028 +/- 0.009
Malignant neoplasm of prostate,0.033 +/- 0.014,0.051 +/- 0.016,0.052 +/- 0.009,0.058 +/- 0.015
Neuroblastoma,0.012 +/- 0.024,0.02 +/- 0.027,0.018 +/- 0.023,0.013 +/- 0.013
