,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.136 +/- 0.041,0.088 +/- 0.02,0.06 +/- 0.013,0.04 +/- 0.01
Lymphatic Metastasis,0.0 +/- 0.0,0.016 +/- 0.02,0.008 +/- 0.01,0.005 +/- 0.004
"Condition, Preneoplastic",0.0 +/- 0.0,0.0 +/- 0.0,0.006 +/- 0.008,0.008 +/- 0.005
Alzheimer's Disease,0.024 +/- 0.02,0.012 +/- 0.01,0.01 +/- 0.006,0.01 +/- 0.006
Ovarian Mucinous Adenocarcinoma,0.0 +/- 0.0,0.012 +/- 0.016,0.008 +/- 0.007,0.009 +/- 0.006
Female infertility,0.016 +/- 0.032,0.012 +/- 0.016,0.014 +/- 0.01,0.008 +/- 0.006
Single Seizure,0.016 +/- 0.02,0.008 +/- 0.01,0.006 +/- 0.005,0.004 +/- 0.004
Stomach Neoplasms,0.024 +/- 0.032,0.032 +/- 0.032,0.024 +/- 0.017,0.016 +/- 0.012
Pneumonitis,0.032 +/- 0.03,0.04 +/- 0.018,0.03 +/- 0.006,0.02 +/- 0.003
Malignant neoplasm of prostate,0.088 +/- 0.053,0.068 +/- 0.032,0.056 +/- 0.01,0.041 +/- 0.004
Neuroblastoma,0.008 +/- 0.016,0.012 +/- 0.016,0.01 +/- 0.013,0.008 +/- 0.007
