,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.128 +/- 0.039,0.1 +/- 0.036,0.06 +/- 0.013,0.038 +/- 0.009
Lymphatic Metastasis,0.0 +/- 0.0,0.016 +/- 0.02,0.008 +/- 0.01,0.005 +/- 0.004
"Condition, Preneoplastic",0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.005,0.008 +/- 0.005
Alzheimer's Disease,0.024 +/- 0.02,0.016 +/- 0.008,0.014 +/- 0.008,0.009 +/- 0.004
Ovarian Mucinous Adenocarcinoma,0.016 +/- 0.02,0.028 +/- 0.02,0.014 +/- 0.01,0.007 +/- 0.005
Female infertility,0.008 +/- 0.016,0.016 +/- 0.015,0.014 +/- 0.01,0.007 +/- 0.005
Single Seizure,0.016 +/- 0.02,0.008 +/- 0.01,0.006 +/- 0.005,0.003 +/- 0.002
Stomach Neoplasms,0.032 +/- 0.03,0.024 +/- 0.023,0.024 +/- 0.017,0.016 +/- 0.012
Pneumonitis,0.04 +/- 0.025,0.048 +/- 0.027,0.034 +/- 0.01,0.02 +/- 0.004
Malignant neoplasm of prostate,0.096 +/- 0.06,0.064 +/- 0.029,0.052 +/- 0.013,0.041 +/- 0.004
Neuroblastoma,0.008 +/- 0.016,0.012 +/- 0.016,0.01 +/- 0.013,0.008 +/- 0.007
