,Top 25,Top 50,Top 100,Top 200
adrenal gland diseases,0.1 +/- 0.12247448713915891,0.25 +/- 0.22360679774997896,0.3 +/- 0.18708286933869708,0.36666666666666664 +/- 0.1130388330520878
alzheimer disease,0.03333333333333333 +/- 0.06666666666666667,0.03333333333333333 +/- 0.06666666666666667,0.03333333333333333 +/- 0.06666666666666667,0.03333333333333333 +/- 0.06666666666666667
amino acid metabolism inborn errors,0.07818181818181817 +/- 0.07443450723803172,0.2581818181818182 +/- 0.2428889485388622,0.35454545454545455 +/- 0.22036783674364638,0.46909090909090906 +/- 0.2042199430123487
amyotrophic lateral sclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
anemia aplastic,0.13999999999999999 +/- 0.11575836902790225,0.29 +/- 0.19078784028338913,0.44000000000000006 +/- 0.19849433241279207,0.63 +/- 0.2694438717061496
anemia hemolytic,0.20666666666666664 +/- 0.1936778539511193,0.27999999999999997 +/- 0.2315167380558045,0.27999999999999997 +/- 0.2315167380558045,0.3133333333333333 +/- 0.2696499788820891
aneurysm,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.13333333333333333 +/- 0.26666666666666666
arrhythmias cardiac,0.1 +/- 0.0816496580927726,0.13333333333333333 +/- 0.1247219128924647,0.16666666666666666 +/- 0.14907119849998596,0.2333333333333333 +/- 0.16996731711975951
arterial occlusive diseases,0.04722222222222222 +/- 0.05800170282728083,0.04722222222222222 +/- 0.05800170282728083,0.04722222222222222 +/- 0.05800170282728083,0.04722222222222222 +/- 0.05800170282728083
arteriosclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.025 +/- 0.05000000000000001,0.05357142857142857 +/- 0.06585388898066348
arthritis rheumatoid,0.02222222222222222 +/- 0.04444444444444444,0.04444444444444444 +/- 0.08888888888888888,0.09444444444444444 +/- 0.08489281549964514,0.11944444444444444 +/- 0.10599324460188285
asthma,0.025 +/- 0.05000000000000001,0.025 +/- 0.05000000000000001,0.025 +/- 0.05000000000000001,0.05 +/- 0.06123724356957946
basal ganglia diseases,0.08888888888888888 +/- 0.04444444444444444,0.11111111111111112 +/- 0.07027283689263066,0.11111111111111112 +/- 0.07027283689263066,0.11111111111111112 +/- 0.07027283689263066
behcet syndrome,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333
bile duct diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.03333333333333333 +/- 0.06666666666666667
blood coagulation disorders,0.6 +/- 0.1224744871391589,0.675 +/- 0.1,0.75 +/- 0.07905694150420949,0.8 +/- 0.1274754878398196
blood platelet disorders,0.5 +/- 0.15491933384829668,0.5 +/- 0.15491933384829668,0.62 +/- 0.20396078054371142,0.66 +/- 0.21540659228538017
breast neoplasms,0.125 +/- 0.11180339887498948,0.2 +/- 0.1,0.225 +/- 0.12247448713915891,0.325 +/- 0.1695582495781317
carbohydrate metabolism inborn errors,0.25916666666666666 +/- 0.06974158650969225,0.2991666666666667 +/- 0.1004296326345522,0.39 +/- 0.11898295863040405,0.45499999999999996 +/- 0.11246604425830539
carcinoma renal cell,0.0 +/- 0.0,0.0 +/- 0.0,0.05 +/- 0.10000000000000002,0.05 +/- 0.10000000000000002
cardiomyopathies,0.10222222222222221 +/- 0.06340152274527602,0.18222222222222223 +/- 0.11517029795422169,0.20222222222222222 +/- 0.10758860832809071,0.22222222222222224 +/- 0.11439589045541111
cardiomyopathy hypertrophic,0.22999999999999998 +/- 0.20396078054371142,0.38 +/- 0.2501999200639361,0.48 +/- 0.31874754901018454,0.48 +/- 0.31874754901018454
celiac disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.025 +/- 0.05000000000000001
cerebellar ataxia,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cerebrovascular disorders,0.0 +/- 0.0,0.0 +/- 0.0,0.02222222222222222 +/- 0.04444444444444444,0.04444444444444444 +/- 0.05443310539518174
charcot-marie-tooth disease,0.08 +/- 0.16,0.12 +/- 0.24000000000000002,0.12 +/- 0.24000000000000002,0.19333333333333333 +/- 0.31012542265634685
colitis ulcerative,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
colorectal neoplasms,0.07222222222222222 +/- 0.05918687709072921,0.09722222222222222 +/- 0.09296222517045283,0.11944444444444444 +/- 0.07934920476158723,0.14166666666666666 +/- 0.08888888888888888
coronary artery disease,0.03333333333333333 +/- 0.06666666666666667,0.03333333333333333 +/- 0.06666666666666667,0.03333333333333333 +/- 0.06666666666666667,0.03333333333333333 +/- 0.06666666666666667
crohn disease,0.04285714285714286 +/- 0.05714285714285714,0.05619047619047619 +/- 0.0532311947142176,0.07047619047619047 +/- 0.045215533220835116,0.07047619047619047 +/- 0.045215533220835116
death sudden,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
diabetes mellitus type 2,0.013333333333333332 +/- 0.026666666666666665,0.013333333333333332 +/- 0.026666666666666665,0.026666666666666665 +/- 0.032659863237109045,0.04 +/- 0.05333333333333333
dwarfism,0.08 +/- 0.09797958971132713,0.08 +/- 0.09797958971132713,0.08 +/- 0.09797958971132713,0.11333333333333333 +/- 0.09333333333333334
esophageal diseases,0.0 +/- 0.0,0.04 +/- 0.08,0.04 +/- 0.08,0.08 +/- 0.16
exophthalmos,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.13333333333333333 +/- 0.1632993161855452
glomerulonephritis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
gout,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
graves disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
head and neck neoplasms,0.02857142857142857 +/- 0.05714285714285714,0.05714285714285714 +/- 0.06998542122237653,0.05714285714285714 +/- 0.06998542122237653,0.08571428571428572 +/- 0.06998542122237651
hypothalamic diseases,0.17 +/- 0.08717797887081348,0.21000000000000002 +/- 0.128062484748657,0.21000000000000002 +/- 0.128062484748657,0.25 +/- 0.19493588689617924
leukemia b-cell,0.0 +/- 0.0,0.0 +/- 0.0,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333
leukemia myeloid,0.09444444444444444 +/- 0.04762896722078402,0.1388888888888889 +/- 0.1079408845984747,0.1388888888888889 +/- 0.1079408845984747,0.18611111111111112 +/- 0.1515353521887317
lipid metabolism disorders,0.18 +/- 0.11661903789690602,0.2 +/- 0.1264911064067352,0.2 +/- 0.1264911064067352,0.24000000000000005 +/- 0.14966629547095764
liver cirrhosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
liver cirrhosis biliary,0.0 +/- 0.0,0.04 +/- 0.08,0.04 +/- 0.08,0.09 +/- 0.11135528725660043
lung diseases obstructive,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.025 +/- 0.05000000000000001
lupus erythematosus,0.013333333333333332 +/- 0.026666666666666665,0.013333333333333332 +/- 0.026666666666666665,0.013333333333333332 +/- 0.026666666666666665,0.026666666666666665 +/- 0.032659863237109045
lymphoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
lysosomal storage diseases,0.4 +/- 0.11331154474650634,0.4444444444444445 +/- 0.12171612389003693,0.4666666666666667 +/- 0.12957670877434005,0.5111111111111112 +/- 0.18053418676968802
macular degeneration,0.06944444444444445 +/- 0.09043789220055391,0.06944444444444445 +/- 0.09043789220055391,0.06944444444444445 +/- 0.09043789220055391,0.1388888888888889 +/- 0.1337954953199144
metabolic syndrome x,0.0 +/- 0.0,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333,0.13333333333333333 +/- 0.1632993161855452
motor neuron disease,0.03333333333333333 +/- 0.06666666666666667,0.03333333333333333 +/- 0.06666666666666667,0.03333333333333333 +/- 0.06666666666666667,0.03333333333333333 +/- 0.06666666666666667
