,Top 25,Top 50,Top 100,Top 200
adrenal gland diseases,0.179 +/- 0.222,0.194 +/- 0.211,0.209 +/- 0.199,0.221 +/- 0.188
alzheimer disease,0.03 +/- 0.061,0.03 +/- 0.061,0.03 +/- 0.061,0.05 +/- 0.064
amino acid metabolism inborn errors,0.057 +/- 0.085,0.125 +/- 0.114,0.168 +/- 0.113,0.215 +/- 0.104
amyotrophic lateral sclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
anemia aplastic,0.063 +/- 0.085,0.093 +/- 0.089,0.118 +/- 0.078,0.118 +/- 0.078
anemia hemolytic,0.198 +/- 0.139,0.209 +/- 0.153,0.228 +/- 0.151,0.236 +/- 0.162
aneurysm,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
arrhythmias cardiac,0.11 +/- 0.117,0.121 +/- 0.115,0.13 +/- 0.106,0.13 +/- 0.106
arterial occlusive diseases,0.027 +/- 0.033,0.027 +/- 0.033,0.027 +/- 0.033,0.04 +/- 0.033
arteriosclerosis,0.013 +/- 0.025,0.013 +/- 0.025,0.013 +/- 0.025,0.02 +/- 0.026
arthritis rheumatoid,0.047 +/- 0.094,0.058 +/- 0.091,0.073 +/- 0.12,0.073 +/- 0.12
asthma,0.051 +/- 0.101,0.051 +/- 0.101,0.051 +/- 0.101,0.051 +/- 0.101
basal ganglia diseases,0.123 +/- 0.122,0.123 +/- 0.122,0.123 +/- 0.122,0.123 +/- 0.122
behcet syndrome,0.027 +/- 0.054,0.027 +/- 0.054,0.027 +/- 0.054,0.027 +/- 0.054
bile duct diseases,0.0 +/- 0.0,0.011 +/- 0.021,0.011 +/- 0.021,0.011 +/- 0.021
blood coagulation disorders,0.393 +/- 0.153,0.404 +/- 0.151,0.404 +/- 0.151,0.418 +/- 0.148
blood platelet disorders,0.295 +/- 0.124,0.321 +/- 0.123,0.321 +/- 0.123,0.338 +/- 0.106
breast neoplasms,0.14 +/- 0.13,0.15 +/- 0.121,0.158 +/- 0.12,0.187 +/- 0.125
carbohydrate metabolism inborn errors,0.19 +/- 0.084,0.196 +/- 0.079,0.218 +/- 0.075,0.232 +/- 0.073
carcinoma renal cell,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cardiomyopathies,0.133 +/- 0.092,0.177 +/- 0.079,0.19 +/- 0.083,0.196 +/- 0.077
cardiomyopathy hypertrophic,0.159 +/- 0.147,0.188 +/- 0.152,0.213 +/- 0.173,0.213 +/- 0.173
celiac disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.022 +/- 0.018
cerebellar ataxia,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cerebrovascular disorders,0.0 +/- 0.0,0.0 +/- 0.0,0.008 +/- 0.016,0.014 +/- 0.018
charcot-marie-tooth disease,0.024 +/- 0.048,0.024 +/- 0.048,0.024 +/- 0.048,0.024 +/- 0.048
colitis ulcerative,0.011 +/- 0.022,0.011 +/- 0.022,0.011 +/- 0.022,0.011 +/- 0.022
colorectal neoplasms,0.072 +/- 0.1,0.082 +/- 0.094,0.09 +/- 0.098,0.11 +/- 0.082
coronary artery disease,0.028 +/- 0.035,0.028 +/- 0.035,0.028 +/- 0.035,0.036 +/- 0.032
crohn disease,0.029 +/- 0.025,0.036 +/- 0.031,0.036 +/- 0.031,0.046 +/- 0.02
death sudden,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
diabetes mellitus type 2,0.043 +/- 0.066,0.043 +/- 0.066,0.043 +/- 0.066,0.058 +/- 0.063
dwarfism,0.0 +/- 0.0,0.028 +/- 0.034,0.028 +/- 0.034,0.028 +/- 0.034
esophageal diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
exophthalmos,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
glomerulonephritis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
gout,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
graves disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
head and neck neoplasms,0.013 +/- 0.027,0.023 +/- 0.029,0.023 +/- 0.029,0.031 +/- 0.027
hypothalamic diseases,0.127 +/- 0.078,0.127 +/- 0.078,0.127 +/- 0.078,0.127 +/- 0.078
leukemia b-cell,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.011 +/- 0.022
leukemia myeloid,0.096 +/- 0.09,0.096 +/- 0.09,0.112 +/- 0.104,0.112 +/- 0.104
lipid metabolism disorders,0.164 +/- 0.089,0.189 +/- 0.094,0.197 +/- 0.102,0.21 +/- 0.107
liver cirrhosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.009 +/- 0.018
liver cirrhosis biliary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.01 +/- 0.021
lung diseases obstructive,0.017 +/- 0.034,0.017 +/- 0.034,0.017 +/- 0.034,0.017 +/- 0.034
lupus erythematosus,0.008 +/- 0.016,0.015 +/- 0.019,0.021 +/- 0.027,0.03 +/- 0.033
lymphoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
lysosomal storage diseases,0.49 +/- 0.128,0.509 +/- 0.151,0.509 +/- 0.151,0.515 +/- 0.146
macular degeneration,0.127 +/- 0.161,0.145 +/- 0.148,0.153 +/- 0.144,0.173 +/- 0.157
metabolic syndrome x,0.026 +/- 0.052,0.026 +/- 0.052,0.056 +/- 0.08,0.056 +/- 0.08
motor neuron disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
multiple sclerosis,0.021 +/- 0.028,0.021 +/- 0.028,0.044 +/- 0.043,0.054 +/- 0.053
muscular dystrophies,0.212 +/- 0.197,0.212 +/- 0.197,0.212 +/- 0.197,0.22 +/- 0.193
mycobacterium infections,0.122 +/- 0.11,0.136 +/- 0.097,0.136 +/- 0.097,0.146 +/- 0.109
myeloproliferative disorders,0.043 +/- 0.087,0.078 +/- 0.079,0.078 +/- 0.079,0.089 +/- 0.071
nutritional and metabolic diseases,0.096 +/- 0.09,0.082 +/- 0.044,0.079 +/- 0.025,0.107 +/- 0.014
peroxisomal disorders,0.781 +/- 0.04,0.813 +/- 0.031,0.813 +/- 0.031,0.813 +/- 0.031
psoriasis,0.0 +/- 0.0,0.016 +/- 0.02,0.024 +/- 0.03,0.024 +/- 0.03
purine-pyrimidine metabolism inborn errors,0.025 +/- 0.051,0.025 +/- 0.051,0.025 +/- 0.051,0.025 +/- 0.051
renal tubular transport inborn errors,0.084 +/- 0.074,0.096 +/- 0.064,0.096 +/- 0.064,0.096 +/- 0.064
sarcoma,0.034 +/- 0.068,0.046 +/- 0.066,0.058 +/- 0.088,0.067 +/- 0.09
spastic paraplegia hereditary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar ataxias,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar degenerations,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spondylarthropathies,0.06 +/- 0.081,0.06 +/- 0.081,0.073 +/- 0.091,0.084 +/- 0.084
