,Top 25,Top 50,Top 100,Top 200
adrenal gland diseases,0.024 +/- 0.032,0.016 +/- 0.015,0.012 +/- 0.004,0.006 +/- 0.002
alzheimer disease,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
amino acid metabolism inborn errors,0.024 +/- 0.032,0.032 +/- 0.027,0.032 +/- 0.017,0.025 +/- 0.006
amyotrophic lateral sclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
anemia aplastic,0.016 +/- 0.02,0.016 +/- 0.015,0.012 +/- 0.007,0.009 +/- 0.007
anemia hemolytic,0.056 +/- 0.032,0.032 +/- 0.016,0.02 +/- 0.013,0.01 +/- 0.006
aneurysm,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
arrhythmias cardiac,0.016 +/- 0.02,0.02 +/- 0.018,0.012 +/- 0.007,0.007 +/- 0.005
arterial occlusive diseases,0.016 +/- 0.02,0.008 +/- 0.01,0.004 +/- 0.005,0.004 +/- 0.004
arteriosclerosis,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.002 +/- 0.002
arthritis rheumatoid,0.008 +/- 0.016,0.012 +/- 0.016,0.008 +/- 0.007,0.004 +/- 0.004
asthma,0.008 +/- 0.016,0.004 +/- 0.008,0.004 +/- 0.005,0.002 +/- 0.002
basal ganglia diseases,0.032 +/- 0.03,0.016 +/- 0.015,0.008 +/- 0.007,0.005 +/- 0.003
behcet syndrome,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
bile duct diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.001 +/- 0.002
blood coagulation disorders,0.192 +/- 0.03,0.1 +/- 0.013,0.05 +/- 0.006,0.027 +/- 0.004
blood platelet disorders,0.096 +/- 0.032,0.052 +/- 0.024,0.028 +/- 0.012,0.016 +/- 0.006
breast neoplasms,0.032 +/- 0.03,0.02 +/- 0.013,0.014 +/- 0.008,0.01 +/- 0.005
