,Top 25,Top 50,Top 100,Top 200
adrenal gland diseases,0.15 +/- 0.2,0.2 +/- 0.187,0.3 +/- 0.187,0.367 +/- 0.113
alzheimer disease,0.033 +/- 0.067,0.033 +/- 0.067,0.033 +/- 0.067,0.113 +/- 0.157
amino acid metabolism inborn errors,0.04 +/- 0.049,0.198 +/- 0.211,0.315 +/- 0.177,0.465 +/- 0.111
amyotrophic lateral sclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
anemia aplastic,0.09 +/- 0.111,0.19 +/- 0.185,0.29 +/- 0.191,0.29 +/- 0.191
anemia hemolytic,0.28 +/- 0.142,0.313 +/- 0.168,0.38 +/- 0.124,0.413 +/- 0.167
aneurysm,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
arrhythmias cardiac,0.133 +/- 0.125,0.167 +/- 0.149,0.2 +/- 0.125,0.2 +/- 0.125
arterial occlusive diseases,0.047 +/- 0.058,0.047 +/- 0.058,0.047 +/- 0.058,0.092 +/- 0.084
arteriosclerosis,0.025 +/- 0.05,0.025 +/- 0.05,0.025 +/- 0.05,0.05 +/- 0.061
arthritis rheumatoid,0.022 +/- 0.044,0.047 +/- 0.058,0.092 +/- 0.13,0.092 +/- 0.13
asthma,0.025 +/- 0.05,0.025 +/- 0.05,0.025 +/- 0.05,0.025 +/- 0.05
basal ganglia diseases,0.089 +/- 0.083,0.089 +/- 0.083,0.089 +/- 0.083,0.089 +/- 0.083
behcet syndrome,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133
bile duct diseases,0.0 +/- 0.0,0.029 +/- 0.057,0.029 +/- 0.057,0.029 +/- 0.057
blood coagulation disorders,0.6 +/- 0.094,0.625 +/- 0.079,0.625 +/- 0.079,0.675 +/- 0.1
blood platelet disorders,0.467 +/- 0.169,0.54 +/- 0.233,0.54 +/- 0.233,0.613 +/- 0.221
breast neoplasms,0.1 +/- 0.094,0.125 +/- 0.079,0.15 +/- 0.094,0.25 +/- 0.137
carbohydrate metabolism inborn errors,0.247 +/- 0.096,0.259 +/- 0.092,0.31 +/- 0.09,0.35 +/- 0.076
carcinoma renal cell,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cardiomyopathies,0.227 +/- 0.151,0.327 +/- 0.116,0.371 +/- 0.148,0.391 +/- 0.129
cardiomyopathy hypertrophic,0.27 +/- 0.248,0.36 +/- 0.271,0.46 +/- 0.376,0.46 +/- 0.376
celiac disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.087 +/- 0.072
cerebellar ataxia,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cerebrovascular disorders,0.0 +/- 0.0,0.0 +/- 0.0,0.022 +/- 0.044,0.044 +/- 0.054
charcot-marie-tooth disease,0.04 +/- 0.08,0.04 +/- 0.08,0.04 +/- 0.08,0.04 +/- 0.08
colitis ulcerative,0.018 +/- 0.036,0.018 +/- 0.036,0.018 +/- 0.036,0.018 +/- 0.036
colorectal neoplasms,0.05 +/- 0.061,0.075 +/- 0.061,0.1 +/- 0.094,0.167 +/- 0.058
coronary artery disease,0.067 +/- 0.082,0.067 +/- 0.082,0.067 +/- 0.082,0.1 +/- 0.082
crohn disease,0.042 +/- 0.034,0.056 +/- 0.053,0.056 +/- 0.053,0.085 +/- 0.029
death sudden,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
diabetes mellitus type 2,0.027 +/- 0.033,0.027 +/- 0.033,0.027 +/- 0.033,0.069 +/- 0.062
dwarfism,0.0 +/- 0.0,0.08 +/- 0.098,0.08 +/- 0.098,0.08 +/- 0.098
esophageal diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
