,Top 25,Top 50,Top 100,Top 200
adrenal gland diseases,0.04137931034482759 +/- 0.055172413793103454,0.029629629629629627 +/- 0.027715980642769932,0.023189679157697436 +/- 0.007637207476644404,0.011793778624457636 +/- 0.003907197904755483
alzheimer disease,0.012903225806451613 +/- 0.025806451612903226,0.007142857142857143 +/- 0.014285714285714285,0.0037735849056603774 +/- 0.007547169811320754,0.001941747572815534 +/- 0.003883495145631068
amino acid metabolism inborn errors,0.03428571428571429 +/- 0.045714285714285714,0.05322404371584699 +/- 0.045264376788219006,0.05808353808353809 +/- 0.03136892456294083,0.04754682915820356 +/- 0.012104054260568271
amyotrophic lateral sclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
anemia aplastic,0.027126436781609198 +/- 0.03323091678086005,0.029494949494949498 +/- 0.027681273032333375,0.023040293040293043 +/- 0.014400962754859453,0.017637494021999045 +/- 0.014413981365034271
anemia hemolytic,0.09118279569892473 +/- 0.052282396211691166,0.0574025974025974 +/- 0.02870570572030337,0.037807726864330635 +/- 0.023866679435692095,0.019436419606914515 +/- 0.012280748386949814
aneurysm,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
arrhythmias cardiac,0.025806451612903226 +/- 0.031606319261718425,0.03571428571428571 +/- 0.031943828249996996,0.022641509433962266 +/- 0.014119461836882796,0.013592233009708738 +/- 0.009901008764257833
arterial occlusive diseases,0.023885918003565064 +/- 0.029259585780653394,0.013676212741087084 +/- 0.016750891051009104,0.007373428474345906 +/- 0.009030728520954025,0.0076647037173352955 +/- 0.0071635491419798
arteriosclerosis,0.012121212121212121 +/- 0.02424242424242424,0.006896551724137933 +/- 0.013793103448275864,0.0037037037037037034 +/- 0.007407407407407407,0.0038461538461538464 +/- 0.0047105571976599585
arthritis rheumatoid,0.011764705882352941 +/- 0.023529411764705882,0.02045587375803624 +/- 0.027178032072036312,0.014746856948691812 +/- 0.013749255224498694,0.007673905042326096 +/- 0.007166018840406616
asthma,0.012121212121212121 +/- 0.02424242424242424,0.006896551724137933 +/- 0.013793103448275864,0.007407407407407407 +/- 0.009072184232530289,0.0038461538461538464 +/- 0.0047105571976599585
basal ganglia diseases,0.047058823529411764 +/- 0.04401949866792872,0.027118644067796616 +/- 0.025367168723891137,0.014678899082568808 +/- 0.013730852795500705,0.009569377990430622 +/- 0.006052206048169147
behcet syndrome,0.014285714285714285 +/- 0.02857142857142857,0.007547169811320755 +/- 0.015094339622641508,0.003883495145631068 +/- 0.007766990291262136,0.0019704433497536944 +/- 0.003940886699507389
bile duct diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.001932367149758454 +/- 0.003864734299516908
blood coagulation disorders,0.2909090909090909 +/- 0.04535342286998717,0.1724137931034483 +/- 0.02180881144943709,0.09259259259259259 +/- 0.011712139482105107,0.05192307692307692 +/- 0.00769230769230769
blood platelet disorders,0.15913978494623654 +/- 0.053789241121250685,0.09428571428571428 +/- 0.04376912395559349,0.05322551662174303 +/- 0.022195699434679594,0.0311816244376036 +/- 0.011351699483202816
breast neoplasms,0.048484848484848485 +/- 0.04535342286998717,0.03448275862068966 +/- 0.021808811449437103,0.025925925925925925 +/- 0.014814814814814814,0.01923076923076923 +/- 0.010533126105868578
carbohydrate metabolism inborn errors,0.18804878048780488 +/- 0.07292805284885917,0.1283916083916084 +/- 0.040607746600299297,0.08662668665667166 +/- 0.02447085261421589,0.05570198105081825 +/- 0.01013593499473126
carcinoma renal cell,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.00196078431372549 +/- 0.00392156862745098
cardiomyopathies,0.12672268907563025 +/- 0.05684151885426009,0.09367231638418079 +/- 0.025043993975972942,0.06195162635529607 +/- 0.02188642969519205,0.03623604465709729 +/- 0.011153738385054356
cardiomyopathy hypertrophic,0.06804597701149426 +/- 0.06067572114509839,0.05898989898989898 +/- 0.05016288131446605,0.030695970695970697 +/- 0.026064684208412087,0.01956958393113343 +/- 0.016359485101606244
celiac disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0057971916456509105 +/- 0.004733479214484146
cerebellar ataxia,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cerebrovascular disorders,0.0 +/- 0.0,0.0 +/- 0.0,0.007339449541284404 +/- 0.008988953184525425,0.0038277511961722485 +/- 0.004688018646474982
charcot-marie-tooth disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.001951219512195122 +/- 0.003902439024390244
colitis ulcerative,0.01111111111111111 +/- 0.02222222222222222,0.006557377049180327 +/- 0.013114754098360652,0.0036036036036036037 +/- 0.007207207207207207,0.001895734597156398 +/- 0.003791469194312796
colorectal neoplasms,0.024242424242424242 +/- 0.02969078476100822,0.020689655172413796 +/- 0.016893032708849506,0.018484539585457017 +/- 0.01171233663791531,0.013433934486566065 +/- 0.0046956517009377014
coronary artery disease,0.012903225806451613 +/- 0.025806451612903226,0.007142857142857143 +/- 0.014285714285714285,0.0037735849056603774 +/- 0.007547169811320754,0.005825242718446601 +/- 0.004756290762685782
crohn disease,0.040769230769230766 +/- 0.03831081578588669,0.024903846153846155 +/- 0.023360437906246485,0.014004576659038903 +/- 0.013120607355338591,0.011206259508802436 +/- 0.003742702502748664
death sudden,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
diabetes mellitus type 2,0.01 +/- 0.02,0.006153846153846154 +/- 0.012307692307692306,0.006956521739130435 +/- 0.008519964322724099,0.009319713105846556 +/- 0.008339742628453902
