,Top 25,Top 50,Top 100,Top 200
adrenal gland diseases,0.028 +/- 0.034,0.03 +/- 0.028,0.019 +/- 0.012,0.012 +/- 0.004
alzheimer disease,0.013 +/- 0.026,0.007 +/- 0.014,0.004 +/- 0.008,0.002 +/- 0.004
amino acid metabolism inborn errors,0.045 +/- 0.043,0.087 +/- 0.081,0.065 +/- 0.039,0.046 +/- 0.019
amyotrophic lateral sclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
anemia aplastic,0.041 +/- 0.033,0.044 +/- 0.028,0.035 +/- 0.014,0.025 +/- 0.01
anemia hemolytic,0.078 +/- 0.075,0.057 +/- 0.049,0.03 +/- 0.026,0.017 +/- 0.016
aneurysm,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.008
arrhythmias cardiac,0.039 +/- 0.032,0.029 +/- 0.027,0.019 +/- 0.017,0.014 +/- 0.01
arterial occlusive diseases,0.024 +/- 0.029,0.014 +/- 0.017,0.007 +/- 0.009,0.004 +/- 0.005
arteriosclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.007,0.004 +/- 0.005
arthritis rheumatoid,0.012 +/- 0.024,0.014 +/- 0.027,0.015 +/- 0.014,0.01 +/- 0.009
asthma,0.012 +/- 0.024,0.007 +/- 0.014,0.004 +/- 0.007,0.004 +/- 0.005
basal ganglia diseases,0.047 +/- 0.024,0.034 +/- 0.021,0.018 +/- 0.012,0.01 +/- 0.006
behcet syndrome,0.014 +/- 0.029,0.008 +/- 0.015,0.004 +/- 0.008,0.002 +/- 0.004
bile duct diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004
blood coagulation disorders,0.291 +/- 0.059,0.186 +/- 0.028,0.111 +/- 0.012,0.062 +/- 0.01
blood platelet disorders,0.172 +/- 0.053,0.094 +/- 0.029,0.061 +/- 0.019,0.033 +/- 0.01
